Label,WithinSectionID,AlleleCombo
Sub073 ISO-M-L,73,ISO-M-L
Sub074 ISO-P-S,74,ISO-P-S
Sub074 ISO-M-S,74,ISO-M-S
Sub074 ISO-M-M,74,ISO-M-M
Sub074 ISO-M-L,74,ISO-M-L
Sub075 ISO-P-S,75,ISO-P-S
Sub075 ISO-M-S,75,ISO-M-S
Sub075 ISO-M-M,75,ISO-M-M
Sub075 ISO-M-L,75,ISO-M-L
Sub076 ISO-P-S,76,ISO-P-S
Sub076 ISO-M-S,76,ISO-M-S
Sub076 ISO-M-M,76,ISO-M-M
Sub076 ISO-M-L,76,ISO-M-L
Sub077 ISO-P-S,77,ISO-P-S
Sub077 ISO-M-S,77,ISO-M-S
Sub077 ISO-M-M,77,ISO-M-M
Sub077 ISO-M-L,77,ISO-M-L
Sub078 ISO-P-S,78,ISO-P-S
Sub078 ISO-M-S,78,ISO-M-S
Sub078 ISO-M-M,78,ISO-M-M
Sub078 ISO-M-L,78,ISO-M-L
Sub079 ISO-P-S,79,ISO-P-S
Sub079 ISO-M-S,79,ISO-M-S
Sub079 ISO-M-M,79,ISO-M-M
Sub079 ISO-M-L,79,ISO-M-L
Sub080 ISO-P-S,80,ISO-P-S
Sub080 ISO-M-S,80,ISO-M-S
Sub080 ISO-M-M,80,ISO-M-M
Sub080 ISO-M-L,80,ISO-M-L
Sub081 ISO-P-S,81,ISO-P-S
Sub081 ISO-M-S,81,ISO-M-S
Sub081 ISO-M-M,81,ISO-M-M
Sub081 ISO-M-L,81,ISO-M-L
Sub082 ISO-P-S,82,ISO-P-S
Sub082 ISO-M-S,82,ISO-M-S
Sub082 ISO-M-M,82,ISO-M-M
Sub082 ISO-M-L,82,ISO-M-L
Sub083 ISO-P-S,83,ISO-P-S
Sub083 ISO-M-S,83,ISO-M-S
Sub083 ISO-M-M,83,ISO-M-M
Sub083 ISO-M-L,83,ISO-M-L
Sub084 ISO-P-S,84,ISO-P-S
Sub084 ISO-M-S,84,ISO-M-S
Sub084 ISO-M-M,84,ISO-M-M
Sub084 ISO-M-L,84,ISO-M-L
Sub085 ISO-P-S,85,ISO-P-S
Sub085 ISO-M-S,85,ISO-M-S
Sub085 ISO-M-M,85,ISO-M-M
Sub085 ISO-M-L,85,ISO-M-L
Sub086 ISO-P-S,86,ISO-P-S
Sub086 ISO-M-S,86,ISO-M-S
Sub086 ISO-M-M,86,ISO-M-M
Sub086 ISO-M-L,86,ISO-M-L
Sub087 ISO-P-S,87,ISO-P-S
Sub087 ISO-M-S,87,ISO-M-S
Sub087 ISO-M-M,87,ISO-M-M
Sub087 ISO-M-L,87,ISO-M-L
Sub088 ISO-P-S,88,ISO-P-S
Sub088 ISO-M-S,88,ISO-M-S
Sub088 ISO-M-M,88,ISO-M-M
Sub088 ISO-M-L,88,ISO-M-L
Sub089 ISO-P-S,89,ISO-P-S
Sub089 ISO-M-S,89,ISO-M-S
Sub089 ISO-M-M,89,ISO-M-M
Sub089 ISO-M-L,89,ISO-M-L
Sub090 ISO-P-S,90,ISO-P-S
Sub090 ISO-M-S,90,ISO-M-S
Sub090 ISO-M-M,90,ISO-M-M
Sub090 ISO-M-L,90,ISO-M-L
Sub091 ISO-P-S,91,ISO-P-S
Sub091 ISO-M-S,91,ISO-M-S
Sub091 ISO-M-M,91,ISO-M-M
Sub091 ISO-M-L,91,ISO-M-L
Sub092 ISO-P-S,92,ISO-P-S
Sub092 ISO-M-S,92,ISO-M-S
Sub092 ISO-M-M,92,ISO-M-M
Sub092 ISO-M-L,92,ISO-M-L
Sub093 ISO-P-S,93,ISO-P-S
Sub093 ISO-M-S,93,ISO-M-S
Sub093 ISO-M-M,93,ISO-M-M
Sub093 ISO-M-L,93,ISO-M-L
Sub094 ISO-P-S,94,ISO-P-S
Sub094 ISO-M-S,94,ISO-M-S
Sub094 ISO-M-M,94,ISO-M-M
Sub094 ISO-M-L,94,ISO-M-L
Sub095 ISO-P-S,95,ISO-P-S
Sub095 ISO-M-S,95,ISO-M-S
Sub095 ISO-M-M,95,ISO-M-M
Sub095 ISO-M-L,95,ISO-M-L
Sub096 ISO-P-S,96,ISO-P-S
Sub096 ISO-M-S,96,ISO-M-S
Sub096 ISO-M-M,96,ISO-M-M
Sub096 ISO-M-L,96,ISO-M-L
Sub097 ISO-P-S,97,ISO-P-S
Sub097 ISO-M-S,97,ISO-M-S
Sub097 ISO-M-M,97,ISO-M-M
Sub097 ISO-M-L,97,ISO-M-L
Sub098 ISO-P-S,98,ISO-P-S
Sub098 ISO-M-S,98,ISO-M-S
Sub098 ISO-M-M,98,ISO-M-M
Sub098 ISO-M-L,98,ISO-M-L
Sub099 ISO-P-S,99,ISO-P-S
Sub099 ISO-M-S,99,ISO-M-S
Sub099 ISO-M-M,99,ISO-M-M
Sub099 ISO-M-L,99,ISO-M-L
Sub100 ISO-P-S,100,ISO-P-S
Sub100 ISO-M-S,100,ISO-M-S
Sub100 ISO-M-M,100,ISO-M-M
Sub100 ISO-M-L,100,ISO-M-L
Sub101 ISO-P-S,101,ISO-P-S
Sub101 ISO-M-S,101,ISO-M-S
Sub101 ISO-M-M,101,ISO-M-M
Sub101 ISO-M-L,101,ISO-M-L
Sub102 ISO-P-S,102,ISO-P-S
Sub102 ISO-M-S,102,ISO-M-S
Sub102 ISO-M-M,102,ISO-M-M
Sub102 ISO-M-L,102,ISO-M-L
Sub103 ISO-P-S,103,ISO-P-S
Sub103 ISO-M-S,103,ISO-M-S
Sub103 ISO-M-M,103,ISO-M-M
Sub103 ISO-M-L,103,ISO-M-L
Sub104 ISO-P-S,104,ISO-P-S
Sub104 ISO-M-S,104,ISO-M-S
Sub104 ISO-M-M,104,ISO-M-M
Sub104 ISO-M-L,104,ISO-M-L
Sub105 ISO-P-S,105,ISO-P-S
Sub105 ISO-M-S,105,ISO-M-S
Sub105 ISO-M-M,105,ISO-M-M
Sub105 ISO-M-L,105,ISO-M-L
Sub106 ISO-P-S,106,ISO-P-S
Sub106 ISO-M-S,106,ISO-M-S
Sub106 ISO-M-M,106,ISO-M-M
Sub106 ISO-M-L,106,ISO-M-L
Sub107 ISO-P-S,107,ISO-P-S
Sub107 ISO-M-S,107,ISO-M-S
Sub107 ISO-M-M,107,ISO-M-M
Sub107 ISO-M-L,107,ISO-M-L
Sub108 ISO-P-S,108,ISO-P-S
Sub108 ISO-M-S,108,ISO-M-S
Sub108 ISO-M-M,108,ISO-M-M
Sub108 ISO-M-L,108,ISO-M-L
Sub109 ISO-P-S,109,ISO-P-S
Sub109 ISO-M-S,109,ISO-M-S
Sub109 ISO-M-M,109,ISO-M-M
Sub109 ISO-M-L,109,ISO-M-L
Sub110 ISO-P-S,110,ISO-P-S
Sub110 ISO-M-S,110,ISO-M-S
Sub110 ISO-M-M,110,ISO-M-M
Sub110 ISO-M-L,110,ISO-M-L
Sub111 ISO-P-S,111,ISO-P-S
Sub111 ISO-M-S,111,ISO-M-S
Sub111 ISO-M-M,111,ISO-M-M
Sub111 ISO-M-L,111,ISO-M-L
Sub112 ISO-P-S,112,ISO-P-S
Sub112 ISO-M-S,112,ISO-M-S
Sub112 ISO-M-M,112,ISO-M-M
Sub112 ISO-M-L,112,ISO-M-L
Sub113 ISO-P-S,113,ISO-P-S
Sub113 ISO-M-S,113,ISO-M-S
Sub113 ISO-M-M,113,ISO-M-M
Sub113 ISO-M-L,113,ISO-M-L
Sub114 ISO-P-S,114,ISO-P-S
Sub114 ISO-M-S,114,ISO-M-S
Sub114 ISO-M-M,114,ISO-M-M
Sub114 ISO-M-L,114,ISO-M-L
Sub115 ISO-P-S,115,ISO-P-S
Sub115 ISO-M-S,115,ISO-M-S
Sub115 ISO-M-M,115,ISO-M-M
Sub115 ISO-M-L,115,ISO-M-L
Sub116 ISO-P-S,116,ISO-P-S
Sub116 ISO-M-S,116,ISO-M-S
Sub116 ISO-M-M,116,ISO-M-M
Sub116 ISO-M-L,116,ISO-M-L
Sub117 ISO-P-S,117,ISO-P-S
