AFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,AFMO Leng(m),Hybrid DA [m2],NEAR_FID,DISt to NHD blueline (m),AREASYMBOL,MUSYM,MUKEY,WEI,FrmlndCls,DrainClass,FloodFCls,GravelSrc,HydrcRatng,hydrcRat_1,KfactRF,KfactWS,NirrCpCls,NirrCpScls,OrgMatter,PondFCls,Slope,SandSrc,SurfText,Tfactor,WEG,compname,Elev,ElevMin,ElevMax
143,LES,2,3,26,31,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,490.1621719,395296.2474,1439,491.9447595,MN161,L13A,433240,134,Farmland of statewide importance,Very poorly drained,None,Poor,All Hydric,0.875,0.02,0.02,3,w,44.38,Frequent,0.9,Poor,muck,2,2,Klossner,321.6812779,309,341
8785,COB,1,60,1121,983,Blue Earth,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,561.6423751,393092.2629,1619,5.472374597,MN047,86,397885,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.24,0.24,2,w,6,None,0.75,Poor,clay loam,5,4L,Canisteo,371.8199696,361,387
8904,MAP,1,70,975,963,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,780.6917337,391875.75,40,1020.756859,MN043,110,397076,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,1,Poor,silty clay loam,5,4,Marna,325.6439355,319,335
7331,COB,2,54,821,772,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,UM,27,684.8364735,390829.5985,194,1200.51094,MN043,539,397119,134,Farmland of statewide importance,Very poorly drained,None,Poor,All Hydric,1,0.02,0.02,3,w,42.5,Frequent,0.75,Poor,sp,2,2,Klossner,320.8552198,313,329
6397,MAP,2,50,739,750,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,520.4055726,389984.0467,495,205.0853011,MN013,310,396170,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,1,0.28,0.28,2,w,6,None,0.5,Poor,clay,5,4,Beauford,314.7321909,309,320
9726,MAP,2,73,1103,1065,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,29,1594.362483,389707.5431,731,79.51993783,MN043,101B,397072,48,All areas are prime farmland,Well drained,None,Poor,Not Hydric,0.75,0.32,0.32,2,e,6,None,1.75,Poor,silt loam,5,6,Truman,336.1237651,323,351
2587,COB,3,10,337,272,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,13,501.0636992,385599.5913,1614,424.8552308,MN013,105C,396125,86,Farmland of statewide importance,Well drained,None,Poor,Not Hydric,0.5,0.28,0.28,3,e,3.5,None,5,Poor,silty clay,5,4,Kamrar,303.131162,275,312
7696,COB,1,66,884,843,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,642.8357212,384416.5814,546,727.3023266,MN043,L107A,1674439,86,Prime farmland if drained,Poorly drained,None,Poor,Partially Hydric,0.5,0.24,0.24,2,w,6.08,None,1,Poor,clay loam,5,4L,Glencoe,356.3921515,338,367
5270,MAP,2,50,614,643,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,656.1601006,381752.2786,1560,188.3367866,MN013,316,396172,86,Prime farmland if drained,Poorly drained,None,Poor,All Hydric,0.5,0.28,0.28,2,w,6,None,5,Poor,silty clay loam,5,4,Baroda,307.0857829,300,314
5984,LES,1,45,672,664,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,562.3812709,380946.0255,915,478.8073971,MN147,My,428287,134,Not prime farmland,Very poorly drained,None,Poor,All Hydric,0.8,0.02,0.02,3,w,42.5,Frequent,1,Poor,muck,2,2,Muck,373.0325868,363,388
