BFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,BFMO L [m],Hybrid DA [m2],FTYPE,bufferwidth [ft],A [m2],DA=BufferDL*L*2 (both sides of the stream)
1202,LES,1,43,885,778,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,9180.287993,327517.7814,StreamRiver,50,279815.178,1835587.568
1211,LES,1,45,687,686,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1116.058904,27120.89552,StreamRiver,50,34017.4754,223154.6386
1214,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,1271.252446,127125,StreamRiver,50,38747.77456,254185.4011
1242,COB,1,66,915,879,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,UL,27,6833.846428,683385,CanalDitch,16.5,68737.56091,1366419.393
1243,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1991.888162,199189,StreamRiver,50,60712.75119,398275.6478
1250,MAP,1,72,1042,956,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,1930.634296,38334.375,StreamRiver,50,58845.73334,386028.0107
1291,COB,1,66,1030,955,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,2690.96697,269097,CanalDitch,16.5,27066.82217,538055.6164
1312,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,503.4733151,50347.33151,ArtificialPath,16.5,5064.135992,100668.8852
1316,LES,1,43,693,670,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,1462.680521,186376.5957,StreamRiver,50,44582.50227,292461.2149
1324,MAP,1,69,986,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,4592.039376,255530.0676,StreamRiver,50,139965.3602,918172.7628
1339,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,76.36619434,7636.619434,Connector,16.5,768.1217291,15269.32892
1347,MAP,1,72,956,909,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,7366.683947,736668,CanalDitch,16.5,74097.05381,1472959.615
1373,MAP,1,68,910,875,Le Sueur,Upper Maple,Map AB UG,AB,1,MC,28,2475.822178,247582,StreamRiver,50,75463.06,495037.6736
1375,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,594.4491158,31910.86957,StreamRiver,50,18118.80905,118859.3874
1386,COB,1,66,1092,1030,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,6078.463389,607846,CanalDitch,16.5,61139.61615,1215381.46
1409,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2532.896714,65161.11111,StreamRiver,50,77202.69186,506449.6586
1416,LES,1,30,650,511,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,18,4029.01597,520733.9552,StreamRiver,50,122804.4068,805596.9084
1427,MAP,1,69,1005,944,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,2779.107782,277911,StreamRiver,50,84707.2052,555679.2661
1441,MAP,1,68,965,910,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,5612.276354,20552.45902,StreamRiver,50,171062.1833,1122167.922
1445,MAP,1,72,1047,1046,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,2202.957297,233577.1812,StreamRiver,50,67146.13842,440478.6681
1470,LES,1,30,511,374,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,LC,18,3834.149579,383415,StreamRiver,50,116864.8792,766633.6073
1471,LES,1,45,652,660,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,579.8811988,57988.11988,StreamRiver,50,17674.77894,115946.5498
1485,COB,1,60,1121,983,Blue Earth,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,5559.431933,555943,ArtificialPath,16.5,55918.99015,1111601.744
1502,MAP,1,70,1059,1023,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,2316.496506,156752.027,StreamRiver,50,70606.81352,463180.6967
1513,LES,1,30,489,505,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2201.175956,79775,StreamRiver,50,67091.84315,440122.4911
1530,LES,1,43,830,754,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,12711.83224,508550.4878,StreamRiver,50,387456.6466,2541715.602
1567,COB,1,66,955,915,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,UL,27,1313.647906,4713.75,CanalDitch,16.5,13213.1961,262662.3225
