ICMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,L[m],max_flowacc,mean_flowlen,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,Elev,ElevMin,ElevMax
1436,COB,2,37,668,628,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,566.9603825,27891,99579.35938,LeSueur River,32029,CD8A,PUBLIC DITCH OPEN,WASECA,335.0800194,330,339
1393,MAP,2,53,967,911,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,111.9439174,27639,92451.92969,LeSueur River,32054,JD1,PUBLIC DITCH OPEN,FARIBAULT,320.151777,312,333
1434,COB,2,37,669,668,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2513.040116,27340,100948.0078,LeSueur River,32029,CD8A,PUBLIC DITCH OPEN,WASECA,336.889181,333,339
1113,LES,2,1,45,23,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,786.0579013,27120,99202.53125,LeSueur River,32003,CD3,PUBLIC DITCH OPEN,WASECA,331.1261432,318,352
1361,MAP,2,64,819,815,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,442.4665676,26905,93280.80469,LeSueur River,32052,JD9,PUBLIC DITCH OPEN,BLUE EARTH-FARIBAULT,314.1468456,310,320
1080,LES,2,24,241,274,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,1737.494341,26163,107099.4688,LeSueur River,32004,CD38,PUBLIC DITCH OPEN,WASECA,337.6366938,322,349
1009,LES,1,43,731,702,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,24,980.5139455,25665,143276.3594,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,363.9283886,356,373
1027,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,320.1851432,25263,119854.2188,LeSueur River,32008,JD5,PUBLIC DITCH OPEN,STEELE-WASECA,352.2666582,335,376
1028,LES,1,29,388,365,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,121.6721131,25171,120100.4531,LeSueur River,32008,JD5,PUBLIC DITCH OPEN,STEELE-WASECA,352.2666582,335,376
936,LES,1,45,972,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,1312.261022,24943,157821.5313,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,389.4033788,377,401
932,LES,1,45,850,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,2028.603393,24718,159633.375,LeSueur River,32024,CD46,PUBLIC DITCH OPEN,FREEBORN,387.2643464,377,399
1259,MAP,2,50,750,727,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,1034.696683,24381,92227.20313,LeSueur River,32058,CD95,PUBLIC DITCH OPEN,FARIBAULT-BLUE EARTH,312.1876706,306,315
1209,COB,3,10,314,331,Le Sueur,Lower Cobb,Cobb btwn gauges,BT,3,LO,12,1102.892034,23814,45506.37109,LeSueur River,32073,CD86,PUBLIC DITCH OPEN,BLUE EARTH,304.2414933,292,311
1292,MAP,2,73,1065,922,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,699.7364611,23746,97829.42969,LeSueur River,32055,JD2,PUBLIC DITCH OPEN,FARIBAULT,326.3823116,313,339
1291,MAP,2,73,1085,1065,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,307.5130202,23440,98315.15625,LeSueur River,32055,JD2,PUBLIC DITCH OPEN,FARIBAULT,329.373333,323,338
1105,LES,2,9,148,170,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,3448.665111,23347,76021.02344,LeSueur River,32017,JD11,PUBLIC DITCH OPEN,WASECA,318.0620958,305,328
1112,LES,2,1,45,23,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,1260.567525,23308,100193.3281,LeSueur River,32003,CD3,PUBLIC DITCH OPEN,WASECA,331.1261432,318,352
1402,MAP,2,64,1084,909,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,624.1638446,23198,104948.4688,LeSueur River,32051,CD7,PUBLIC DITCH OPEN,FARIBAULT,324.756064,313,345
1271,COB,2,35,443,414,Le Sueur,Lower Cobb,Cobb Upper Cobb,AB,1,LO,27,1320.721755,23008,56727.26563,LeSueur River,32065,CD57,PUBLIC DITCH OPEN,BLUE EARTH,304.6090086,297,314
1167,LES,3,7,118,133,Le Sueur,Upper Le Sueur,LS AB UG,AB,3,LO,10,1582.83915,22794,63845.26172,LeSueur River,32080,CD83,PUBLIC DITCH OPEN,BLUE EARTH,313.5088338,298,325
1174,LES,3,7,115,133,Le Sueur,Upper Le Sueur,LS AB UG,AB,3,LO,10,2103.972735,22787,64175.375,LeSueur River,32080,CD26,PUBLIC DITCH OPEN,BLUE EARTH,306.0780201,298,320
955,LES,1,45,972,823,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,26,5171.337748,22588,161323.6094,LeSueur River,32085,CD28,PUBLIC DITCH OPEN,FREEBORN,389.4033788,377,401
1401,MAP,2,64,1084,909,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,4078.592896,22515,106735.8828,LeSueur River,32051,CD7,PUBLIC DITCH OPEN,FARIBAULT,324.756064,313,345
