GeneID,MOsID,MOs,SedRed,Duck,Cost,sedbcr,duckbcr,SB574,HydroSB,Zone,watershed,coords_x1,coords_x2,ld0.0,ld0.1,ld0.2,ld0.3,ld0.4,ld0.5,ld0.6,ld0.7,ld0.8,ld0.9,ld1.0
50,112,TLMO,0.012,0,25.256,0.475134621,0,4,1,3,LES,176728.7007,2357824.681,0,0.047513462,0.095026924,0.142540386,0.190053849,0.237567311,0.285080773,0.332594235,0.380107697,0.427621159,0.475134621
51,113,TLMO,0.1037,0,74.8823,1.384839942,0,5,9,2,LES,188110.288,2357804.74,0,0.138483994,0.276967988,0.415451983,0.553935977,0.692419971,0.830903965,0.96938796,1.107871954,1.246355948,1.384839942
52,115,TLMO,0.1419,0,96.7646,1.466445374,0,6,9,2,LES,183759.9285,2357900.003,0,0.146644537,0.293289075,0.439933612,0.586578149,0.733222687,0.879867224,1.026511762,1.173156299,1.319800836,1.466445374
53,116,TLMO,0.0739,0,41.031,1.801077234,0,17,9,2,LES,183724.5509,2357774.195,0,0.180107723,0.360215447,0.54032317,0.720430894,0.900538617,1.080646341,1.260754064,1.440861787,1.620969511,1.801077234
54,117,TLMO,0.0093,0,6.6718,1.393926676,0,5,9,2,LES,190415.0908,2357692.162,0,0.139392668,0.278785335,0.418178003,0.557570671,0.696963338,0.836356006,0.975748674,1.115141341,1.254534009,1.393926676
55,118,TLMO,0.0034,0,2.2841,1.488551289,0,2,1,3,LES,169640.7061,2357661.547,0,0.148855129,0.297710258,0.446565387,0.595420516,0.744275645,0.893130774,1.041985903,1.190841031,1.33969616,1.488551289
56,119,TLMO,0.0178,0,7.4009,2.405112892,0,22,1,3,LES,173254.491,2357640.892,0,0.240511289,0.481022578,0.721533868,0.962045157,1.202556446,1.443067735,1.683579024,1.924090313,2.164601603,2.405112892
57,120,TLMO,2.1802,0,1487.276,1.46590142,0,6,9,2,LES,183048.6557,2357959.606,0,0.146590142,0.293180284,0.439770426,0.586360568,0.73295071,0.879540852,1.026130994,1.172721136,1.319311278,1.46590142
58,122,TLMO,0.7284,0,404.2892,1.801680579,0,17,9,2,LES,183200.152,2357700.423,0,0.180168058,0.360336116,0.540504174,0.720672232,0.90084029,1.081008347,1.261176405,1.441344463,1.621512521,1.801680579
59,125,TLMO,0.0638,0,46.0642,1.385023511,0,5,9,2,LES,188145.8376,2357670.092,0,0.138502351,0.277004702,0.415507053,0.554009404,0.692511755,0.831014106,0.969516457,1.108018809,1.24652116,1.385023511
60,126,TLMO,0.2536,0,83.1887,3.048490961,0,14,9,2,LES,188148.9867,2357545.124,0,0.304849096,0.609698192,0.914547288,1.219396384,1.52424548,1.829094577,2.133943673,2.438792769,2.743641865,3.048490961
61,127,TLMO,0.5533,0,1169.4666,0.473121678,0,4,1,3,LES,177018.7036,2357744.797,0,0.047312168,0.094624336,0.141936503,0.189248671,0.236560839,0.283873007,0.331185175,0.378497342,0.42580951,0.473121678
62,128,TLMO,0.0026,0,45.4,0.057268722,0,9,1,3,LES,176774.2342,2357448.574,0,0.005726872,0.011453744,0.017180617,0.022907489,0.028634361,0.034361233,0.040088106,0.045814978,0.05154185,0.057268722
