GeneID,MOs,MOsID,SED_B,SED_BCR_x,Duck_BCR_x,FID_1,Subbasin,SED_BCR_y,Duck_BCR_y,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin.1,800001,800002,800003,800004,800005,800006,800007,800008
171,TLMO,307,0.012,4.50958287,0,568,1,4.51,0,3,166371.9607,2354809.824,35,1,3,LES,0,1,1,1,1,1,1,1,1
172,TLMO,308,0.01,4.789272035,0,569,1,4.79,0,3,166340.3788,2354784.096,35,1,3,LES,0,1,1,1,1,1,1,1,1
173,TLMO,309,1.038,6.349128677,0,570,1,6.35,0,3,167766.6511,2355110.22,24,1,3,LES,0,1,1,1,1,1,1,1,1
174,TLMO,310,1.317,4.510984607,0,571,1,4.51,0,3,167631.7458,2354976.571,35,1,3,LES,0,1,1,1,1,1,1,1,1
175,TLMO,311,0.044,2.63788969,0,3546,9,2.64,0,2,190657.0908,2354819.162,36,9,2,LES,0,1,1,1,1,1,1,1,1
176,TLMO,312,0.036,2.690985201,0,3547,9,2.69,0,2,192552.3647,2354694.664,36,9,2,LES,0,1,1,1,1,1,1,1,1
177,TLMO,313,0.016,4.796163071,0,572,1,4.8,0,3,165800.0908,2354662.162,35,1,3,LES,0,1,1,1,1,1,1,1,1
178,TLMO,314,0.031,4.646282976,0,573,1,4.65,0,3,167855.0908,2354662.162,35,1,3,LES,0,1,1,1,1,1,1,1,1
179,TLMO,319,0.618,0.619719722,0,577,1,0.62,0,3,177530.5125,2354794.74,43,1,3,LES,0,1,1,1,1,1,1,1,1
180,TLMO,320,0.016,4.796163071,0,578,1,4.8,0,3,166850.0908,2354602.162,35,1,3,LES,0,1,1,1,1,1,1,1,1
181,TLMO,323,3.506,0.619429157,0,581,1,0.62,0,3,176718.9724,2355869.142,43,1,3,LES,0,1,1,1,1,1,1,1,1
182,TLMO,325,1.727,1.734435525,0,582,1,1.73,0,3,175136.0124,2354738.045,26,1,3,LES,0,1,1,1,1,1,1,1,1
183,TLMO,327,0.128,0.619872733,0,584,1,0.62,0,3,175733.4556,2354677.68,43,1,3,LES,0,1,1,1,1,1,1,1,1
184,TLMO,328,0.855,2.057524041,0,585,1,2.06,0,3,173290.1622,2355673.51,26,1,3,LES,0,1,1,1,1,1,1,1,1
185,TLMO,329,12.582,1.733540903,0,586,1,1.73,0,3,173882.7142,2355445.858,26,1,3,LES,0,1,1,1,1,1,1,1,1
