FID_1,MOs,MOsID,Subbasin,SED_BCR,Duck_BCR,Zone,coords_x1,coords_x2,SB574,HydroSB,Zone_1,watershed,Subbasin
3430,TLMO,74,9,0.00,0.00,2,187460.09080000000,2358592.16180000000,5,9,2,LES,
3431,TLMO,75,9,0.00,0.00,2,188044.72220900000,2358594.59628000000,5,9,2,LES,
3432,TLMO,77,9,0.00,0.00,2,187966.60729200000,2358624.62425000000,5,9,2,LES,
3433,TLMO,79,9,0.00,0.00,2,186913.13961400000,2358570.88262000000,5,9,2,LES,
3448,TLMO,110,9,1.19,0.00,2,189400.35899300000,2358190.84083000000,5,9,2,LES,
3449,TLMO,111,9,0.00,0.00,2,191242.97457200000,2357790.73374000000,5,9,2,LES,
3450,TLMO,113,9,1.19,0.00,2,188110.28802800000,2357804.73958000000,5,9,2,LES,
3453,TLMO,117,9,1.20,0.00,2,190415.09080000000,2357692.16180000000,5,9,2,LES,
3457,TLMO,125,9,1.19,0.00,2,188145.83757700000,2357670.09238000000,5,9,2,LES,
3459,TLMO,129,9,1.20,0.00,2,188462.54173000000,2357598.15438000000,5,9,2,LES,
3461,TLMO,132,9,1.19,0.00,2,188994.86014400000,2357556.05806000000,5,9,2,LES,
3465,TLMO,138,9,0.00,0.00,2,189590.09080000000,2357272.16180000000,5,9,2,LES,
3466,TLMO,140,9,0.00,0.00,2,189620.09080000000,2357242.16180000000,5,9,2,LES,
3492,TLMO,204,9,1.19,0.00,2,191184.89604600000,2357742.21555000000,5,9,2,LES,
2455,AFMO,20,9,0.00,0.00,2,183339.69286400000,2358683.05463000000,6,9,2,LES,
2462,AFMO,32,9,0.00,0.00,2,184175.35130000000,2357821.54125000000,6,9,2,LES,
2464,AFMO,36,9,0.00,0.00,2,184343.47233700000,2357564.39268000000,6,9,2,LES,
2874,WCMO,56,9,3.48,0.00,2,184869.54056400000,2358522.27814000000,6,9,2,LES,
2875,WCMO,57,9,3.48,0.00,2,185122.11635600000,2358504.44869000000,6,9,2,LES,
2883,WCMO,71,9,0.44,0.00,2,182818.74209900000,2357663.52672000000,6,9,2,LES,
2884,WCMO,72,9,0.80,0.00,2,183558.42966400000,2358433.57632000000,6,9,2,LES,
3418,TLMO,37,9,0.00,0.00,2,182893.99252600000,2358935.49106000000,6,9,2,LES,
3421,TLMO,53,9,0.00,0.00,2,183466.32476700000,2358793.01784000000,6,9,2,LES,
3422,TLMO,54,9,1.26,0.00,2,183734.11443800000,2358844.24875000000,6,9,2,LES,
3423,TLMO,59,9,0.00,0.00,2,183950.09080000000,2358742.16180000000,6,9,2,LES,
3424,TLMO,60,9,0.00,0.00,2,183996.12652500000,2358766.96534000000,6,9,2,LES,
3435,TLMO,81,9,0.00,0.00,2,183429.08388600000,2358634.72030000000,6,9,2,LES,
3436,TLMO,83,9,1.26,0.00,2,182903.99896400000,2358642.54871000000,6,9,2,LES,
3437,TLMO,85,9,1.26,0.00,2,182495.08199000000,2358646.88039000000,6,9,2,LES,
3442,TLMO,99,9,1.26,0.00,2,184456.56861000000,2358390.06883000000,6,9,2,LES,
3451,TLMO,115,9,1.26,0.00,2,183759.92845900000,2357900.00276000000,6,9,2,LES,
3454,TLMO,120,9,1.26,0.00,2,183048.65565600000,2357959.60574000000,6,9,2,LES,
2454,AFMO,19,9,0.00,0.00,2,186151.98226100000,2358850.76221000000,7,9,2,LES,
2872,WCMO,49,9,0.00,0.00,2,186609.73601300000,2358807.60869000000,7,9,2,LES,
3419,TLMO,45,9,0.00,0.00,2,186283.36618600000,2358874.56203000000,7,9,2,LES,
3434,TLMO,80,9,0.00,0.00,2,186753.69273300000,2358652.48130000000,7,9,2,LES,
3470,TLMO,163,9,2.24,0.00,2,185486.98616000000,2357093.94689000000,7,9,2,LES,
127,WCMO,6,1,0.49,0.00,3,179547.97730200000,2359581.25748000000,8,1,2,LES,
425,TLMO,27,1,0.99,0.00,3,179478.34811300000,2359596.24456000000,8,1,2,LES,
2453,AFMO,14,9,0.00,0.00,2,180013.77818800000,2359280.04811000000,8,1,2,LES,
2456,AFMO,22,9,0.00,0.00,2,180553.51184200000,2358435.93043000000,8,1,2,LES,
2457,AFMO,23,9,0.00,0.00,2,180826.94430800000,2358375.80834000000,8,1,2,LES,
2458,AFMO,26,9,0.00,0.00,2,180985.83041200000,2358237.71990000000,8,1,2,LES,
2460,AFMO,29,9,0.04,0.00,2,181431.24935000000,2357933.72841000000,8,1,2,LES,
2461,AFMO,31,9,0.00,0.00,2,181085.87111300000,2357751.94811000000,8,1,2,LES,
2463,AFMO,33,9,0.01,0.00,2,180873.30518600000,2357539.89907000000,8,1,2,LES,
2465,AFMO,37,9,0.00,0.00,2,181402.96253200000,2357339.24474000000,8,1,2,LES,
2742,BFMO,1154,9,0.20,0.00,2,180888.85534000000,2358127.60181000000,8,1,2,LES,
2870,WCMO,18,9,3.55,0.00,2,180011.12945500000,2359171.12011000000,8,1,2,LES,
2871,WCMO,19,9,3.55,0.00,2,180909.90509900000,2359219.24263000000,8,1,2,LES,
2876,WCMO,58,9,3.56,0.00,2,181961.79728600000,2358406.71984000000,8,1,2,LES,
2877,WCMO,59,9,3.55,0.00,2,179690.83034600000,2358734.42161000000,8,1,2,LES,
2878,WCMO,60,9,3.55,0.00,2,180582.29960700000,2358866.59461000000,8,1,2,LES,
2879,WCMO,61,9,3.55,0.00,2,181028.24421700000,2358468.61165000000,8,1,2,LES,
2880,WCMO,62,9,3.55,0.00,2,180405.29781900000,2358374.46636000000,8,1,2,LES,
2888,WCMO,96,9,0.66,0.00,2,182517.57664900000,2358120.04949000000,8,1,2,LES,
2889,WCMO,97,9,0.27,0.00,2,181931.16290300000,2357363.17481000000,8,1,2,LES,
2891,WCMO,99,9,0.55,0.00,2,181510.05066100000,2357852.32523000000,8,1,2,LES,
2909,WCMO,129,9,1.11,0.00,2,180156.18608800000,2358057.46914000000,8,1,2,LES,
3415,TLMO,15,9,0.98,0.00,2,179794.55462300000,2359648.51118000000,8,1,2,LES,
3416,TLMO,21,9,0.98,0.00,2,181227.97694100000,2359210.15479000000,8,1,2,LES,
3417,TLMO,24,9,0.98,0.00,2,180183.23337200000,2359307.49659000000,8,1,2,LES,
3438,TLMO,86,9,0.98,0.00,2,181629.34328600000,2358650.92323000000,8,1,2,LES,
3439,TLMO,87,9,0.98,0.00,2,180222.87656500000,2358659.93443000000,8,1,2,LES,
3440,TLMO,88,9,0.00,0.00,2,179876.57487800000,2358339.44989000000,8,1,2,LES,
3441,TLMO,89,9,0.00,0.00,2,182000.09080000000,2358322.16180000000,8,1,2,LES,
3443,TLMO,105,9,1.03,0.00,2,181481.84863300000,2357902.16180000000,8,1,2,LES,
3444,TLMO,106,9,1.20,0.00,2,181670.09080000000,2357872.16180000000,8,1,2,LES,
3445,TLMO,107,9,0.41,0.00,2,178219.14121900000,2358687.54866000000,8,1,2,LES,
3446,TLMO,108,9,0.98,0.00,2,178712.78879900000,2358462.29226000000,8,1,2,LES,
3473,TLMO,168,9,0.99,0.00,2,178418.98023100000,2357785.07845000000,8,1,2,LES,
3477,TLMO,172,9,0.98,0.00,2,181598.11695800000,2357797.67311000000,8,1,2,LES,
3523,TLMO,245,9,0.98,0.00,2,180051.78433800000,2358050.06606000000,8,1,2,LES,
13,AFMO,15,1,0.00,0.00,3,175080.43813800000,2358834.42185000000,9,1,3,LES,
15,AFMO,17,1,0.00,0.00,3,175603.51239600000,2358585.65940000000,9,1,3,LES,
16,AFMO,18,1,0.00,0.00,3,173273.96917100000,2358495.92930000000,9,1,3,LES,
22,AFMO,35,1,0.00,0.00,3,176570.56629100000,2357292.98651000000,9,1,3,LES,
151,WCMO,32,1,3.38,0.00,3,174676.48337600000,2359187.14599000000,9,1,3,LES,
152,WCMO,33,1,0.35,0.00,3,173749.41352100000,2359251.42361000000,9,1,3,LES,
165,WCMO,47,1,0.42,0.00,3,175340.44081600000,2358886.27996000000,9,1,3,LES,
166,WCMO,48,1,3.38,0.00,3,175099.43499900000,2358808.48882000000,9,1,3,LES,
170,WCMO,55,1,0.38,0.00,3,175843.06378900000,2358632.61182000000,9,1,3,LES,
171,WCMO,63,1,3.38,0.00,3,173877.01454700000,2358305.64260000000,9,1,3,LES,
172,WCMO,64,1,0.40,0.00,3,173511.97630500000,2358855.64409000000,9,1,3,LES,
173,WCMO,65,1,0.83,0.00,3,173241.12514800000,2358538.93127000000,9,1,3,LES,
174,WCMO,66,1,3.38,0.00,3,173621.99949000000,2358219.49777000000,9,1,3,LES,
175,WCMO,69,1,0.15,0.00,3,173578.53393600000,2357933.65854000000,9,1,3,LES,
177,WCMO,73,1,0.44,0.00,3,175585.58545500000,2357533.54946000000,9,1,3,LES,
180,WCMO,76,1,1.30,0.00,3,175165.89904300000,2357482.65812000000,9,1,3,LES,
181,WCMO,80,1,0.36,0.00,3,175043.95772800000,2357135.02482000000,9,1,3,LES,
183,WCMO,82,1,0.90,0.00,3,176142.79513700000,2357360.66457000000,9,1,3,LES,
184,WCMO,83,1,3.38,0.00,3,176725.67338600000,2357312.90798000000,9,1,3,LES,
238,WCMO,194,1,0.84,0.00,3,173333.17844100000,2358047.57035000000,9,1,3,LES,
429,TLMO,31,1,0.05,0.00,3,174951.23554000000,2359180.43385000000,9,1,3,LES,
430,TLMO,32,1,0.05,0.00,3,173442.82004400000,2359146.72629000000,9,1,3,LES,
435,TLMO,38,1,0.00,0.00,3,174965.09080000000,2358862.16180000000,9,1,3,LES,
445,TLMO,50,1,0.30,0.00,3,175160.09080000000,2358802.16180000000,9,1,3,LES,
446,TLMO,51,1,0.05,0.00,3,175162.52029400000,2358910.13241000000,9,1,3,LES,
449,TLMO,58,1,0.05,0.00,3,175946.53405000000,2358884.86662000000,9,1,3,LES,
460,TLMO,92,1,0.06,0.00,3,173862.29024700000,2358366.97738000000,9,1,3,LES,
462,TLMO,94,1,0.05,0.00,3,173228.76926300000,2358640.42444000000,9,1,3,LES,
464,TLMO,96,1,0.05,0.00,3,173646.43031300000,2358504.32705000000,9,1,3,LES,
466,TLMO,98,1,0.00,0.00,3,173791.88040400000,2358145.07155000000,9,1,3,LES,
468,TLMO,101,1,0.06,0.00,3,172999.13805800000,2358835.19290000000,9,1,3,LES,
479,TLMO,128,1,0.07,0.00,3,176774.23420800000,2357448.57429000000,9,1,3,LES,
480,TLMO,131,1,0.00,0.00,3,173660.09080000000,2357362.16180000000,9,1,3,LES,
481,TLMO,134,1,0.00,0.00,3,173688.81801200000,2357314.53232000000,9,1,3,LES,
482,TLMO,137,1,0.00,0.00,3,173718.41050200000,2357270.75012000000,9,1,3,LES,
483,TLMO,139,1,0.07,0.00,3,175790.09080000000,2357287.16180000000,9,1,3,LES,
484,TLMO,141,1,0.00,0.00,3,173750.09080000000,2357212.16180000000,9,1,3,LES,
487,TLMO,144,1,0.00,0.00,3,173701.09080000000,2357195.16180000000,9,1,3,LES,
488,TLMO,145,1,0.05,0.00,3,175935.27609100000,2357287.58514000000,9,1,3,LES,
493,TLMO,151,1,0.06,0.00,3,176434.02562500000,2357078.07657000000,9,1,3,LES,
496,TLMO,154,1,0.05,0.00,3,176835.65635300000,2357191.27350000000,9,1,3,LES,
510,TLMO,184,1,0.05,0.00,3,173744.96360800000,2357019.34548000000,9,1,3,LES,
543,TLMO,275,1,0.05,0.00,3,177128.33157800000,2357077.55142000000,9,1,3,LES,
553,TLMO,292,1,0.05,0.00,3,173300.19246300000,2357975.50794000000,9,1,3,LES,
21,AFMO,30,1,0.00,0.00,3,167034.19495100000,2357423.67665000000,10,1,3,LES,
109,BFMO,324,1,0.04,0.00,3,167845.65963300000,2356522.66059000000,10,1,3,LES,
114,BFMO,1263,1,6.00,0.00,3,167621.75833100000,2357962.10145000000,10,1,3,LES,
161,WCMO,42,1,0.63,0.00,3,166789.65706300000,2358915.62520000000,10,1,3,LES,
163,WCMO,45,1,0.39,0.00,3,166335.30267300000,2358854.10418000000,10,1,3,LES,
164,WCMO,46,1,0.55,0.00,3,167020.28194000000,2358827.86721000000,10,1,3,LES,
167,WCMO,52,1,0.24,0.00,3,166553.77542300000,2358704.77426000000,10,1,3,LES,
168,WCMO,53,1,0.72,0.00,3,166737.60593300000,2358725.34348000000,10,1,3,LES,
202,WCMO,110,1,0.42,0.00,3,166166.40698900000,2358228.90404000000,10,1,3,LES,
211,WCMO,146,1,0.41,0.00,3,167156.25677600000,2356917.13488000000,10,1,3,LES,
440,TLMO,43,1,0.68,0.00,3,166833.37105300000,2359005.97930000000,10,1,3,LES,
442,TLMO,47,1,0.68,0.00,3,166201.28174700000,2358880.88461000000,10,1,3,LES,
444,TLMO,49,1,0.69,0.00,3,167039.50304300000,2358846.65954000000,10,1,3,LES,
459,TLMO,91,1,0.00,0.00,3,166635.44128700000,2358403.89151000000,10,1,3,LES,
