ID,Label,Cost,NitRed,SedRed
229,Sub038 ISO-M-L,841217.9657,1615.275,434.3927
230,Sub039 ISO-P-S,121188.2118,2044.7942,367.7443
231,Sub039 ISO-P-M,359341.1376,2736.2421,-4131.2938
232,Sub039 ISO-P-L,597395.4828,2776.796,514.2372
233,Sub039 ISO-M-S,91015.4039,1428.4478,272.1063
234,Sub039 ISO-M-M,268822.714,1862.1041,365.9617
235,Sub039 ISO-M-L,446531.4435,2011.2261,396.6262
236,Sub040 ISO-P-S,183843.9928,1223.7131,146.6412
237,Sub040 ISO-P-M,545123.6914,1223.7131,146.6412
238,Sub040 ISO-P-L,906253.8142,1223.7131,146.6412
239,Sub040 ISO-M-S,138062.9775,917.2597,112.6813
240,Sub040 ISO-M-M,407780.6454,970.7997,118.7328
241,Sub040 ISO-M-L,677348.7375,1032.5429,124.1233
242,Sub041 ISO-P-S,350094.4037,1131.2475,149.2512
243,Sub041 ISO-P-M,1037960.253,1131.2475,149.2512
244,Sub041 ISO-P-L,1725538.472,1131.2475,149.2512
245,Sub041 ISO-M-S,262058.7809,1131.2475,149.2512
246,Sub041 ISO-M-M,773853.3844,1131.2475,149.2512
247,Sub041 ISO-M-L,1285360.358,1131.2475,149.2512
248,Sub042 ISO-P-S,291752.6644,3456.6354,481.9281
249,Sub042 ISO-P-M,865004.2611,3456.6354,481.9281
250,Sub042 ISO-P-L,1438016.526,3456.6354,481.9281
251,Sub042 ISO-M-S,218499.6616,3456.6354,481.9281
252,Sub042 ISO-M-M,645245.2525,3456.6354,481.9281
253,Sub042 ISO-M-L,1071751.511,3456.6354,481.9281
254,Sub043 ISO-P-S,145076.6994,844.8063,97.054
255,Sub043 ISO-P-M,430131.3354,844.8063,97.054
256,Sub043 ISO-P-L,715066.9612,844.8063,97.054
257,Sub043 ISO-M-S,108650.9691,844.8063,97.054
258,Sub043 ISO-M-M,320854.1444,844.8063,97.054
259,Sub043 ISO-M-L,532938.3096,844.8063,97.054
260,Sub044 ISO-P-S,167044.8305,827.0243,126.7473
261,Sub044 ISO-P-M,495263.6523,827.0243,126.7473
262,Sub044 ISO-P-L,823345.4429,827.0243,126.7473
263,Sub044 ISO-M-S,125103.3611,827.0243,126.7473
264,Sub044 ISO-M-M,369439.2441,827.0243,126.7473
265,Sub044 ISO-M-L,613638.0959,827.0243,126.7473
266,Sub045 ISO-P-S,186820.6923,591.0025,54.1457
267,Sub045 ISO-P-M,554387.9236,870.3242,82.1954
