"MOs","MOsID","Subbasin","SED_BCR","Duck_BCR","Zone","coords_x1","coords_x2","coords.x1","coords.x2","coords.x3","SED_BCR_DIST"
"WCMO",4246,"18",1.212967574,0.000494626,1,190297.234067958,2338397.20855322,190297.234067958,2338397.20855322,0,0.0968379999999325
"WCMO",12732,"28",1.212867194,0.000540326,1,172453.478339362,2316203.69480469,172453.478339362,2316203.6948047,0,0.100380000000122
"WCMO",1602,"18",1.211788994,0.000229325,1,194527.347587829,2345861.56925678,194527.347587829,2345861.56925678,0,1.07820000000003
"WCMO",14710,"30",1.211479124,0.00045268,1,161789.151129318,2312443.62883011,161789.151129318,2312443.62883011,0,0.309869999999934
"WCMO",14639,"28",1.210647326,0.000593559,1,172603.893269996,2312589.26209352,172603.893269996,2312589.26209352,0,0.831798000000106
"WCMO",6394,"17",1.209868481,0.000637615,2,181744.282795787,2333210.9335185,181744.282795787,2333210.9335185,0,0.778844999999917
"WCMO",12052,"26",1.20865533,0.000568429,1,206691.862709366,2318350.66974033,206691.862709366,2318350.66974033,0,1.21315099999997
"WCMO",3411,"18",1.208342165,0.000377277,1,198466.404448312,2342347.15533472,198466.404448312,2342347.15533472,0,0.313165000000115
"WCMO",6749,"26",1.207802022,0.000317461,1,210069.516036172,2333045.12221856,210069.516036172,2333045.12221856,0,0.540142999999826
"WCMO",3339,"18",1.207620544,0.000564465,1,178818.470344746,2342000.67055094,178818.470344746,2342000.67055094,0,0.181478000000013
"WCMO",14778,"28",1.206760764,0.000408761,1,189584.641775369,2311197.45933254,189584.641775369,2311197.45933254,0,0.859780000000088
"WCMO",8288,"27",1.206635909,0.000442155,1,162124.857106385,2329115.21162785,162124.857106385,2329115.21162784,0,0.124854999999924
"WCMO",14746,"27",1.206544013,0.000380359,1,197234.477128548,2311479.7245943,197234.477128548,2311479.7245943,0,0.0918960000000357
"WCMO",8695,"26",1.205629752,0.000567682,1,206559.190046728,2327620.92683096,206559.190046728,2327620.92683096,0,0.914260999999916
"WCMO",3380,"9",1.204658638,0.000432615,2,183802.681288834,2340786.9653277,183802.681288834,2340786.96532771,0,0.971114000000162
"WCMO",998,"9",1.204226908,0.00056076,2,190727.816046107,2350723.01606752,190727.816046107,2350723.01606752,0,0.431729999999853
"WCMO",14508,"28",1.204149791,0.000565668,1,185122.297173526,2312459.08131236,185122.297173527,2312459.08131236,0,0.0771170000000154
"WCMO",14400,"27",1.204147801,0.000575387,1,192341.049326134,2313207.50563007,192341.049326134,2313207.50563007,0,0.00199000000011829
"WCMO",9868,"27",1.203886453,0.00060301,1,171672.336746949,2324382.41807839,171672.336746949,2324382.41807839,0,0.261347999999995
"WCMO",1692,"18",1.203850047,0.000352331,1,190895.67968213,2345764.26822535,190895.67968213,2345764.26822535,0,0.0364059999999888
"WCMO",2019,"18",1.203533491,0.000352296,1,195137.63009303,2344478.92256935,195137.63009303,2344478.92256935,0,0.316556000000023
"WCMO",8608,"25",1.203436431,0.000560285,2,157318.493819345,2327359.87567542,157318.493819345,2327359.87567542,0,0.0970599999998711
"WCMO",6866,"17",1.203242173,0.000611682,2,191534.903771532,2332688.65176651,191534.903771532,2332688.65176651,0,0.194258000000058
"WCMO",1261,"9",1.203131326,0.00049467,2,189424.040240791,2347914.93543182,189424.040240791,2347914.93543182,0,0.110846999999969
"WCMO",14840,"29",1.202740435,0.00065854,2,149006.881294906,2311978.06396637,149006.881294906,2311978.06396637,0,0.390891000000115
"WCMO",195,"1",1.202634715,0.000189901,3,171811.511644516,2355114.74315317,171811.511644516,2355114.74315317,0,0.105719999999865
"WCMO",14112,"29",1.202591033,0.000458099,2,148529.367765023,2312980.93325388,148529.367765023,2312980.93325388,0,0.0436820000000449
"WCMO",17885,"30",1.202560709,0.000609891,1,174544.460084542,2302118.1642693,174544.460084542,2302118.1642693,0,0.030324000000137
"WCMO",2054,"18",1.202442539,0.00024604,1,193197.095924658,2345614.20132836,193197.095924658,2345614.20132836,0,0.118169999999918
