Type,ID,SedRed,Cost,SED_bcr,Duck,Site_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,area_m2,DA_9_SA_m2,LAND_COVER,FrmlndCls,DrainClass,HydrcRatng,Hydri,PondFCls,Slope,SurfText,Tfactor,compname,KfactorRF,KfactorWS,mean_slope,mean_D_m,total_V_m3,mean_V_m3,MUSYM,CropProdIn,NEAR_FID,NEAR_DIST,NEAR_FC,CPI_depth
WCMO,11,2.287,5891.385,0.000388194,2.547,11,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3313.34668,29820.12012,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,clay loam,5,Cordova,0.28,0.28,1.5908993,0.4099448,1328.221191,1357.330078,109,87,10436,277.8035502,GBER_CONUS_wet_poly,212.2236786
WCMO,12,33.756,49545.146,0.000681318,9.825,12,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,48987.62891,440888.6602,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,4.25,clay loam,4.333333333,Cordova,0.2233333,0.2233333,0.6635222,2.0756822,102055.0703,101611.2109,106C,86,8002,143.5126214,GBER_CONUS_wet_poly,41.4321632
WCMO,13,45.412,51487.072,0.000882008,11.664,13,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,69364.72656,624282.5391,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.785714286,clay loam,5,Cordova,0.2628571,0.2628571,0.1973221,0.8643014,60557.28125,59909.66406,94B,90,5958,0,GBER_CONUS_wet_poly,104.1303329
WCMO,14,2.456,683.03,0.003595743,2.653,14,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3558.711914,32028.40723,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1,silty clay loam,5,Minnetonka,0.28,0.28,0.1099348,0.2401042,816.8343506,853.8609009,287,77,8002,182.0699186,GBER_CONUS_wet_poly,320.6941528
WCMO,15,25.645,49568.955,0.00051736,8.567,15,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,37202.08594,334818.7734,Open Water,All areas are prime farmland,Well drained,Not Hydric,0,None,2.285714286,loam,4.428571429,Lester,0.21,0.21,1.8945129,0.7517973,28194.65234,27948.73633,114,85,8002,0,GBER_CONUS_wet_poly,113.0623932
WCMO,16,3.399,15945.098,0.000213169,3.122,16,LES,3,2,3,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,4924.134277,44317.2085,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,1.25,clay loam,5,Le Sueur,0.26,0.26,0.7809469,1.4417572,6890.157227,7094.398438,239,92,2640,180.8181947,GBER_CONUS_wet_poly,63.8110199
WCMO,17,3.703,11440.622,0.000323671,3.369,17,LES,3,5,1,10,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,5354.905762,48194.15186,Hay/Pasture,Not prime farmland,,Unknown Hydric,0.5,None,1.4,,4,Water,0.202,0.202,1.7085551,2.4921126,13120.97363,13336.01465,211,64,5319,0,GBER_CONUS_wet_poly,25.6810226
WCMO,18,4.995,1405.286,0.003554437,3.758,18,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,7321.800293,65896.20264,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,1.833333333,clay loam,5,Cordova,0.2666667,0.2666667,1.5679595,0.4424918,3333.290772,3237.519043,109,90,8072,64.2625389,GBER_CONUS_wet_poly,203.3936005
WCMO,19,3.964,1115.207,0.003554497,3.336,19,LES,2,3,8,16,Le Sueur,Upper Le Sueur,LS btwn gauges,AB,2,LO,9,5810.437988,52293.94189,Cultivated Crops,All areas are prime farmland,Moderately well drained,Not Hydric,0,None,1.833333333,clay loam,5,Le Sueur,0.2666667,0.2666667,1.3239841,0.5959539,3620.419922,3460.268555,114,90,3034,0,GBER_CONUS_wet_poly,151.0184021
WCMO,20,2.553,6048.224,0.000422107,2.746,20,LES,3,2,4,9,Le Sueur,Lower LeSueur,LS btwn gauges,BT,3,LO,1,3896.332764,35066.99487,Cultivated Crops,Prime farmland if drained,Poorly drained,All Hydric,1,None,2,clay loam,5,Cordova,0.2533333,0.2533333,0.3041965,0.4120097,1601.893677,1604.184326,109,92,640,456.085239,GBER_CONUS_wet_poly,223.2957153
