Type,ID,SedRed,Cost,Duck,Site_ID,River_x,Zone_x,HYDSB_LES30SB,area_m2
WCMO,15454,95.963,44470.731,15.37,15454,MAP,2,29,84201.4375
WCMO,15455,13.619,7142.071,5.605,15455,MAP,2,29,11160.58887
WCMO,15456,9.454,6481.352,4.638,15456,MAP,2,29,7718.118652
WCMO,15457,6.584,5929.7,3.697,15457,MAP,2,29,4843.911621
WCMO,15458,13.708,13379.456,5.621,15458,MAP,2,29,11240.20313
WCMO,15459,10.742,6646.275,4.927,15459,MAP,2,29,8577.401367
WCMO,15460,108.174,59333.695,16.322,15460,MAP,2,29,95218.51563
WCMO,15461,7.583,6090.626,3.997,15461,MAP,2,29,5682.365234
WCMO,15462,12.571,11368.221,5.397,15462,MAP,2,29,10159.30176
WCMO,15463,43.687,24669.409,10.407,15463,MAP,2,29,37963.74609
WCMO,15464,5.755,6225.492,3.416,15464,MAP,2,29,4076.035889
WCMO,15486,20.722,3532.378,7.312,15486,MAP,2,29,18404.34961
WCMO,15487,69.481,12138.586,13.551,15487,MAP,2,29,63244.29297
WCMO,15488,20.105,11913.22,6.963,15488,MAP,2,29,16886.87891
WCMO,15489,10.687,11717.679,5.085,15489,MAP,2,29,8949.429688
WCMO,15490,5.235,10731.878,3.324,15490,MAP,2,29,3813.220459
WCMO,15491,6.449,5951.372,3.802,15491,MAP,2,29,4956.827637
WCMO,15492,7.836,11202.126,4.279,15492,MAP,2,29,6263.302734
WCMO,15493,10.013,6595.784,4.919,15493,MAP,2,29,8314.331055
WCMO,15494,5.653,11193.58,3.507,15494,MAP,2,29,4193.942383
WCMO,15495,17.142,25912.007,6.629,15495,MAP,2,29,15030.94824
WCMO,15496,13.701,2240.506,5.896,15496,MAP,2,29,11673.45215
WCMO,15497,23.82,14079.8,7.898,15497,MAP,2,29,21256.51953
WCMO,15498,5.563,10783.405,3.494,15498,MAP,2,29,4081.685059
WCMO,15499,6.682,5983.731,3.906,15499,MAP,2,29,5125.420898
WCMO,15500,12.628,2048.241,5.64,15500,MAP,2,29,10671.71875
WCMO,15501,99.204,22464.786,16.369,15501,MAP,2,29,90994.78906
WCMO,15502,5.487,5775.038,3.442,15502,MAP,2,29,4038.093018
WCMO,15503,51.094,8938.744,11.761,15503,MAP,2,29,46572.52344
WCMO,15505,14.571,2312.675,0,15505,MAP,2,29,12049.4668
WCMO,15506,6.927,10991.652,3.976,15506,MAP,2,29,5166.69043
WCMO,15507,31.019,10156.827,9.014,15507,MAP,2,29,26868.03125
WCMO,15508,26.728,9414.726,8.326,15508,MAP,2,29,23001.54492
WCMO,15509,9.947,1513.447,4.871,15509,MAP,2,29,7885.339844
WCMO,15510,11.234,6735.784,5.213,15510,MAP,2,29,9043.759766
WCMO,15511,46.539,17842.894,11.057,15511,MAP,2,29,40862.9375
WCMO,15512,11.318,6750.365,5.239,15512,MAP,2,29,9119.729492
WCMO,15513,16.807,12699.079,6.489,15513,MAP,2,29,14062.70508
WCMO,15514,17.041,7739.595,6.562,15514,MAP,2,29,14273.79785
WCMO,15515,42.444,17134.057,10.569,15515,MAP,2,29,37169.76563
WCMO,15516,34.024,10676.822,9.467,15516,MAP,2,29,29577.29883
WCMO,15517,26.944,9451.951,8.402,15517,MAP,2,29,23195.49219
WCMO,15518,5.786,5794.507,3.545,15518,MAP,2,29,4139.53125
WCMO,15519,4.632,5595.091,3.057,15519,MAP,2,29,3100.532715
WCMO,15943,20.098,8375.972,6.903,15943,MAP,2,29,17589.44336
WCMO,15949,18.338,3061.79,6.584,15949,MAP,2,29,15952.49609
WCMO,15953,35.146,6063.575,9.274,15953,MAP,2,29,31592.35352
WCMO,15954,10.086,6594.536,4.773,15954,MAP,2,29,8307.828125
WCMO,15955,25.959,9422.611,7.927,15955,MAP,2,29,23042.62891
WCMO,15956,57.888,15127.013,11.979,15956,MAP,2,29,52763.625
WCMO,15957,137.257,28901.189,18.477,15957,MAP,2,29,124529.6484
WCMO,15958,12.714,7057.655,5.4,15958,MAP,2,29,10720.76367
WCMO,15959,10.661,6691.086,4.901,15959,MAP,2,29,8810.874023
WCMO,15960,51.784,14036.221,11.372,15960,MAP,2,29,47080.39453
WCMO,15961,5.431,5757.437,3.286,15961,MAP,2,29,3946.386963
WCMO,15962,5.729,5810.72,3.413,15962,MAP,2,29,4224.00293
WCMO,15963,6.53,5953.655,3.682,15963,MAP,2,29,4968.720215
WCMO,15964,60.451,15585.214,12.305,15964,MAP,2,29,55150.9375
WCMO,15965,62.372,27119.455,12.466,15965,MAP,2,29,56939.97656
WCMO,15966,9.13,6423.302,4.515,15966,MAP,2,29,7415.666992
