ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1
115,-1,211246.8008,3.6432,0,2022.2617,1.801547248,0,TLMO Reduced 115,0,0.180154725,0.36030945,0.540464174,0.720618899,0.900773624,1.080928349,1.261083073,1.441237798,1.621392523,1.801547248
116,-1,211250.1894,0.2546,0,92.5839,2.749938164,0,TLMO Reduced 116,0,0.274993816,0.549987633,0.824981449,1.099975266,1.374969082,1.649962899,1.924956715,2.199950531,2.474944348,2.749938164
117,-1,211250.3754,0.0686,0,38.0576,1.802530901,0,TLMO Reduced 117,0,0.18025309,0.36050618,0.54075927,0.72101236,0.90126545,1.08151854,1.26177163,1.44202472,1.62227781,1.802530901
118,-1,211250.2468,0.1972,0,80.8413,2.439347215,0,TLMO Reduced 118,0,0.243934721,0.487869443,0.731804164,0.975738886,1.219673607,1.463608329,1.70754305,1.951477772,2.195412493,2.439347215
119,-1,211250.437,0.007,0,15.0995,0.46359151,0,TLMO Reduced 119,0,0.046359151,0.092718302,0.139077453,0.185436604,0.231795755,0.278154906,0.324514057,0.370873208,0.417232359,0.46359151
120,-1,211249.9798,0.4642,0,1002.7117,0.462944633,0,TLMO Reduced 120,0,0.046294463,0.092588927,0.13888339,0.185177853,0.231472317,0.27776678,0.324061243,0.370355706,0.41665017,0.462944633
121,-1,211250.192,0.252,0,233.9126,1.077325463,0,TLMO Reduced 121,0,0.107732546,0.215465093,0.323197639,0.430930185,0.538662731,0.646395278,0.754127824,0.86186037,0.969592916,1.077325463
122,-1,211249.7446,0.6994,0,83.5345,8.372588571,0,TLMO Reduced 122,0,0.837258857,1.674517714,2.511776571,3.349035428,4.186294286,5.023553143,5.860812,6.698070857,7.535329714,8.372588571
123,-1,211249.227,1.217,0,499.0516,2.438625585,0,TLMO Reduced 123,0,0.243862559,0.487725117,0.731587676,0.975450234,1.219312793,1.463175351,1.70703791,1.950900468,2.194763027,2.438625585
124,-1,211250.397,0.047,0,101.4207,0.463416245,0,TLMO Reduced 124,0,0.046341625,0.092683249,0.139024874,0.185366498,0.231708123,0.278049747,0.324391372,0.370732996,0.417074621,0.463416245
