Join_Count,TARGET_FID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,DITCHALL_,DITCHALL_I,UNIQUE_ID,MAJOR,MAJOR_NAME,MINOR5,DITCH_NAME,DITCH_TYPE,COUNTY,TWP,RNG,SEC,PEDIGREE,PEDYEAR,ID,SedRed,Cost,Duck,max_flowac,mean_flowl,Join_Cou_1,TARGET_F_1,Subbasin,Area,Elev,ElevMin,ElevMax,SubbasinR,subwatersh,Watershed,budget_rat,Bluff_avgE,River,Subbasin_1,Zone,Subbasin_2,watershed_,Zone_1,gag_loc,Shape_Leng,Shape_Le_1,Le2,X10_,X20_,X30_,X40_,X50_,X60_,X70_,X80_,X90_,Type
1,880,22486,22526,0,0,121.5665886,16073,1065,32027JD6,32,LeSueur River,32027,JD6,PUBLIC DITCH OPEN,FREEBORN,104,22,6,MSUWRC,1993,998,1.019,12856.394,0,65,148485,2,998,830,8944000.008,368.8424307,355,379,754,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,27899.99993,122.096412,122.096412,1,1,1,1,1,1,1,1,1,ICMO
2,808,19059,22632,0,0,265.0188739,16074,894,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,999,2.222,28027.332,0,8551,147549,1,999,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,266.0705261,266.0705261,1,1,1,1,1,1,1,1,1,ICMO
2,808,22633,22634,0,0,38.47340985,16075,924,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,1000,0.322,4068.793,0,1,147328,1,1000,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,38.34004944,38.34004944,1,1,1,1,1,1,1,1,1,ICMO
2,808,22635,22632,0,0,165.9063735,16076,924,32025JC6,32,LeSueur River,32025,JC6,PUBLIC DITCH OPEN,FREEBORN-WASECA,105,22,17,MSUWRC,1993,1001,1.391,17545.592,0,13040,147223,1,1001,731,8751399.964,363.9283886,356,373,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,19179.99931,165.3257862,165.3257862,1,1,1,1,1,1,1,1,1,ICMO
1,780,19059,22637,0,0,1511.995583,16078,891,32025CD47,32,LeSueur River,32025,CD47,PUBLIC DITCH OPEN,WASECA,105,22,17,MSUWRC,1993,1002,12.694,159902.579,0,173,144819,1,1002,703,4138399.898,364.2234197,356,375,702,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,15679.99954,1516.116445,1516.116445,1,1,1,1,1,1,1,1,1,ICMO
1,779,22637,19059,0,0,803.3653104,16079,891,32025CD47,32,LeSueur River,32025,CD47,PUBLIC DITCH OPEN,WASECA,105,22,17,MSUWRC,1993,1003,6.74,84960.688,0,4280,143249,3,1003,702,3777099.947,357.2351275,349,370,701,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,43,1,24,UL,1,AB,14140.00007,805.4803975,805.4803975,1,1,1,1,1,1,1,1,1,ICMO
2,806,19059,22641,0,0,960.0799218,16081,900,32024CD48,32,LeSueur River,32024,CD48,PUBLIC DITCH OPEN,WASECA,105,22,15,MSUWRC,1993,1004,9.747,101534.196,0,4005,148722,1,1004,729,8335000.15,374.1844871,358,394,661,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,22720.00008,962.9028086,962.9028086,1,1,1,1,1,1,1,1,4,ICMO
2,806,22641,22643,0,0,413.9539797,16083,900,32024CD48,32,LeSueur River,32024,CD48,PUBLIC DITCH OPEN,WASECA,105,22,15,MSUWRC,1993,1005,4.199,43778.11,0,7974,148041,1,1005,729,8335000.15,374.1844871,358,394,661,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,22720.00008,415.7201514,415.7201514,1,1,1,1,1,1,1,1,4,ICMO
2,806,22643,22645,0,0,745.7990817,16085,900,32024CD48,32,LeSueur River,32024,CD48,PUBLIC DITCH OPEN,WASECA,105,22,15,MSUWRC,1993,1006,7.568,78872.715,0,8784,147416,1,1006,729,8335000.15,374.1844871,358,394,661,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,22720.00008,747.0682526,747.0682526,1,1,1,1,1,1,1,1,4,ICMO
1,760,22645,19059,0,0,1231.20628,16086,900,32024CD48,32,LeSueur River,32024,CD48,PUBLIC DITCH OPEN,WASECA,105,22,15,MSUWRC,1993,1007,12.498,130207.431,0,131448,146478,2,1007,683,4278899.919,368.2096099,358,382,661,Upper Le Sueur,Le Sueur,LS AB UG,0.05,LES,45,1,26,UL,1,AB,15539.99994,1233.309934,1233.309934,1,1,1,1,1,1,1,1,4,ICMO
