ld,Name_str,mean,std,q25,q50,q75
lambda0.2,Sub ISO-P-L,818.8138951597527,13143.664263396327,0.6265281980347223,1.78419947353134,10.348104230369861
lambda0.2,Sub ISO-P-M,1008.654865321596,16191.006266255088,0.7717879715336288,2.197863873976517,12.747299161039672
lambda0.2,Sub ISO-P-S,1256.2147742138366,20164.85715812564,0.961212289490073,2.737298123595382,15.87594140272752
lambda0.2,Sub InC-M-L,2804.306278960492,45014.94227232144,2.145758602877377,6.110597067439546,35.440597478993794
lambda0.2,Sub InC-M-M,8353.051725719077,134083.83529717024,6.391467556598495,18.201340474932117,105.56519669533388
lambda0.2,Sub InC-M-S,38395.95611989781,616334.870836031,29.37926351985809,83.6649757653274,485.24500903332904
lambda0.2,Sub InC-P-L,1902.743989467699,30542.994353899438,1.4559141828070812,4.14608843882753,24.04672568835677
lambda0.2,Sub InC-P-M,5416.9396407288805,86953.13598572006,4.144855689468447,11.80353791291471,68.45884802791265
lambda0.2,Sub InC-P-S,23154.097237380163,371671.36782746157,17.71671793188883,50.452890876952075,292.6196208795184
lambda0.3,BS,1680.8180446494841,25334.72091303516,1.943295377445048,5.548301967008063,31.13010410771036
lambda0.3,BS+CC,690.6103048564244,10409.466621862843,0.79845633340001,2.2796724042012495,12.790659141526154
lambda0.3,BS+CC+FM,607.8179388691931,9161.549577722757,0.7027350727776115,2.0063786657609306,11.257277833114713
lambda0.3,BS+FM,746.3620892659812,11249.804993357675,0.8629143425654235,2.4637064441072574,13.82322709757883
lambda0.3,BS+GW,924.7164033325599,13938.113097198224,1.069120549820441,3.0524457158624805,17.12649266081218
lambda0.3,BS+GW+CC,593.8104955205266,8950.417463170987,0.6865402205174647,1.9601407486160274,10.997848699119562
lambda0.3,BS+GW+CC+FM,527.5328891043463,7951.424938856389,0.6099126720527868,1.7413614612219779,9.770334040817703
lambda0.3,BS+GW+FM,584.3534615090674,8807.872993168365,0.675606371647083,1.9289235204485504,10.822696811463432
lambda0.3,CC,549.083682559503,8276.256849948048,0.6348288475037767,1.8124996252239944,10.169472095051686
