,Name,mean,std,q25,q50,q75
230,Sub056 ISO-M-M,6181.911267,38438.84268,4.185567951,15.82128816,139.7889306
231,Sub056 ISO-P-M,4226.03891,26277.31745,2.861311374,10.8156485,95.5616207
232,Sub056 ISO-P-L,2630.067317,16353.63878,1.780731718,6.731098376,59.47259378
233,Sub057 ISO-P-S,5502.79726,34216.14272,3.725762286,14.08324018,124.4324143
234,Sub057 ISO-P-M,2169.165195,13487.77038,1.468670113,5.551517344,49.05041011
235,Sub057 ISO-M-S,7575.947874,47106.8988,5.129424097,19.3890286,171.3116875
236,Sub057 ISO-M-M,3185.399701,19806.67025,2.156728934,8.152353599,72.03008882
237,Sub058 ISO-M-L,434.9922783,2704.762173,0.294518905,1.113270295,9.836295404
238,Sub058 ISO-M-M,228.0154166,1417.789474,0.154381708,0.583557003,5.15601565
239,Sub058 ISO-M-S,1106.39529,6879.515519,0.74910371,2.831583623,25.01844619
240,Sub058 ISO-P-M,445.8459413,2772.249755,0.301867562,1.141047939,10.08172467
241,Sub058 ISO-P-S,161.5734182,1004.656155,0.109396025,0.413512828,3.653590995
242,Sub058 ISO-P-L,212.3904869,1320.634373,0.143802584,0.543568316,4.802695759
243,Sub059 ISO-P-S,1778.393359,11057.9689,1.204091409,4.551419871,40.21405274
244,Sub059 ISO-P-M,798.7127708,4966.359628,0.540782038,2.044135601,18.06095223
245,Sub059 ISO-P-L,405.5697175,2521.81403,0.274597861,1.037969503,9.17097555
246,Sub059 ISO-M-S,1426.899672,8872.397168,0.966106642,3.651846477,32.26587549
247,Sub059 ISO-M-M,602.3735344,3745.531199,0.407847226,1.54164705,13.62121657
248,Sub059 ISO-M-L,736.2817064,4578.166113,0.498512026,1.884356559,16.64922512
249,Sub060 ISO-M-M,1592.668649,9903.141113,1.078343341,4.076096945,36.01433886
250,Sub060 ISO-P-M,1058.918526,6584.307159,0.716958761,2.710076933,23.9448743
251,Sub060 ISO-P-S,2690.8235,16731.41796,1.821867723,6.886590915,60.8464475
252,Sub060 ISO-P-L,639.9275366,3979.040274,0.4332738,1.637758537,14.47040925
253,Sub061 ISO-M-M,630.7106541,3921.730119,0.427033354,1.614169885,14.26199181
254,Sub061 ISO-P-S,1132.948808,7044.624085,0.767082221,2.899541709,25.61888961
255,Sub061 ISO-P-M,478.3737708,2974.506317,0.323891081,1.224296006,10.81726265
256,Sub061 ISO-P-L,311.43354,1936.479566,0.210861364,0.797047962,7.042314201
257,Sub061 ISO-M-S,1577.71513,9810.160812,1.068218808,4.03782659,35.67620129
258,Sub061 ISO-M-L,423.6975502,2634.532068,0.286871618,1.084363839,9.580892521
259,Sub062 ISO-M-L,115.65794,719.1558028,0.078308171,0.296001919,2.615323813
260,Sub062 ISO-M-M,1379.647333,8578.584274,0.934113644,3.530914157,31.19737843
261,Sub062 ISO-P-L,59.40563574,369.3815371,0.040221594,0.1520361,1.343314378
262,Sub062 ISO-P-M,974.9017142,6061.894453,0.660073753,2.495053759,22.04503788
263,Sub063 ISO-M-M,2366.017703,14711.79031,1.601952445,6.055319504,53.50175216
264,Sub063 ISO-M-S,5292.536181,32908.7489,3.583401453,13.54512163,119.67787
265,Sub063 ISO-M-L,1455.439058,9049.853767,0.985429718,3.72488697,32.91122448
266,Sub063 ISO-P-S,3611.562907,22456.53365,2.445269966,9.243027758,81.66673616
267,Sub063 ISO-P-L,843.7521516,5246.412446,0.571276715,2.159404324,19.07940859
268,Sub064 ISO-P-M,265.4331549,1650.451267,0.179716023,0.679319752,6.002127054
269,Sub065 ISO-M-M,1052.859406,6546.631833,0.712856332,2.694569905,23.80786202
270,Sub065 ISO-M-S,2819.158618,17529.39988,1.908759193,7.215037377,63.74843495
271,Sub065 ISO-M-L,780.0024894,4850.019951,0.528113925,1.996250612,17.63786459
272,Sub065 ISO-P-M,714.0619619,4440.004754,0.483467771,1.827489845,16.14677948
273,Sub065 ISO-P-S,2048.443041,12737.12553,1.38693313,5.242554645,46.32057137
274,Sub065 ISO-P-L,27.15112782,168.8244761,0.018383132,0.069487542,0.613956907
275,Sub066 ISO-P-M,621.9866302,3867.484535,0.421126605,1.5918426,14.06471916
