Subbasin,Label,Practices,Select,subbasin
Sub036,Sub036 ISO-M-S, ISO-M-S,1,36
Sub036,Sub036 ISO-M-M, ISO-M-M,1,36
Sub036,Sub036 ISO-M-L, ISO-M-L,1,36
Sub037,Sub037 ISO-P-S, ISO-P-S,0,37
Sub037,Sub037 ISO-P-M, ISO-P-M,0,37
Sub037,Sub037 ISO-P-L, ISO-P-L,1,37
Sub037,Sub037 ISO-M-S, ISO-M-S,0,37
Sub037,Sub037 ISO-M-M, ISO-M-M,1,37
Sub037,Sub037 ISO-M-L, ISO-M-L,0,37
Sub038,Sub038 ISO-P-S, ISO-P-S,0,38
Sub038,Sub038 ISO-P-M, ISO-P-M,0,38
Sub038,Sub038 ISO-P-L, ISO-P-L,1,38
Sub038,Sub038 ISO-M-S, ISO-M-S,0,38
Sub038,Sub038 ISO-M-M, ISO-M-M,1,38
Sub038,Sub038 ISO-M-L, ISO-M-L,0,38
Sub039,Sub039 ISO-P-S, ISO-P-S,0,39
Sub039,Sub039 ISO-P-M, ISO-P-M,0,39
Sub039,Sub039 ISO-P-L, ISO-P-L,1,39
Sub039,Sub039 ISO-M-S, ISO-M-S,1,39
Sub039,Sub039 ISO-M-M, ISO-M-M,0,39
Sub039,Sub039 ISO-M-L, ISO-M-L,0,39
Sub040,Sub040 ISO-P-S, ISO-P-S,1,40
Sub040,Sub040 ISO-P-M, ISO-P-M,0,40
Sub040,Sub040 ISO-P-L, ISO-P-L,1,40
Sub040,Sub040 ISO-M-S, ISO-M-S,1,40
Sub040,Sub040 ISO-M-M, ISO-M-M,1,40
Sub040,Sub040 ISO-M-L, ISO-M-L,1,40
Sub041,Sub041 ISO-P-S, ISO-P-S,0,41
Sub041,Sub041 ISO-P-M, ISO-P-M,0,41
Sub041,Sub041 ISO-P-L, ISO-P-L,1,41
Sub041,Sub041 ISO-M-S, ISO-M-S,1,41
Sub041,Sub041 ISO-M-M, ISO-M-M,1,41
Sub041,Sub041 ISO-M-L, ISO-M-L,1,41
Sub042,Sub042 ISO-P-S, ISO-P-S,0,42
Sub042,Sub042 ISO-P-M, ISO-P-M,0,42
Sub042,Sub042 ISO-P-L, ISO-P-L,0,42
Sub042,Sub042 ISO-M-S, ISO-M-S,0,42
Sub042,Sub042 ISO-M-M, ISO-M-M,1,42
Sub042,Sub042 ISO-M-L, ISO-M-L,0,42
Sub043,Sub043 ISO-P-S, ISO-P-S,1,43
Sub043,Sub043 ISO-P-M, ISO-P-M,1,43
Sub043,Sub043 ISO-P-L, ISO-P-L,0,43
Sub043,Sub043 ISO-M-S, ISO-M-S,1,43
Sub043,Sub043 ISO-M-M, ISO-M-M,0,43
Sub043,Sub043 ISO-M-L, ISO-M-L,1,43
Sub044,Sub044 ISO-P-S, ISO-P-S,1,44
Sub044,Sub044 ISO-P-M, ISO-P-M,1,44
Sub044,Sub044 ISO-P-L, ISO-P-L,0,44
Sub044,Sub044 ISO-M-S, ISO-M-S,0,44
Sub044,Sub044 ISO-M-M, ISO-M-M,0,44
