ID,Label,Genome section,Cost,NitRed,SedRed,WithinSectionID,AlleleCombo
3819,Sub061 InC-M50,subInC,109892.5739,106486.1198,-34353,61,InC-M50
3820,Sub061 InC-M250,subInC,549462.8693,141465.0886,-36527.9,61,InC-M250
3821,Sub061 InC-M500,subInC,1075346.571,160674.3744,-175501.5,61,InC-M500
3822,Sub061 InC-M1000,subInC,2146565.246,182757.6092,-194646,61,InC-M1000
3823,Sub061 InC-M2000,subInC,4287943.254,203633.8784,-228854,61,InC-M2000
3824,Sub062 InC-P25,subInC,65531.034,6037.2108,1352.7,62,InC-P25
3825,Sub062 InC-P50,subInC,131062.068,7095.7025,-56395.6,62,InC-P50
3826,Sub062 InC-P250,subInC,655310.3399,10765.1685,-56270.9,62,InC-P250
3827,Sub062 InC-P500,subInC,1287041.512,12249.4741,-56090.8,62,InC-P500
3828,Sub062 InC-P1000,subInC,2569955.128,12721.7735,-55674.7,62,InC-P1000
3829,Sub062 InC-P2000,subInC,5134723.019,12926.5085,-54955.7,62,InC-P2000
3830,Sub062 InC-M25,subInC,54007.4528,6671.1592,-393.2,62,InC-M25
3831,Sub062 InC-M50,subInC,108014.9056,7524.692,688.7,62,InC-M50
3832,Sub062 InC-M250,subInC,540074.5281,10298.4915,-56659.4,62,InC-M250
3833,Sub062 InC-M500,subInC,1056569.888,11717.9837,-57008.9,62,InC-M500
3834,Sub062 InC-M1000,subInC,2109011.881,12498.48,-57707.3,62,InC-M1000
3835,Sub062 InC-M2000,subInC,4212836.525,-151294.5589,5883004.3,62,InC-M2000
3836,Sub063 InC-P25,subInC,67540.3591,8388.828,-49546.1,63,InC-P25
3837,Sub063 InC-P50,subInC,135080.7183,10120.5456,-50595.7,63,InC-P50
3838,Sub063 InC-P250,subInC,675403.5913,16339.146,-58414,63,InC-P250
3839,Sub063 InC-P500,subInC,1327228.015,18444.8022,-71975.3,63,InC-P500
3840,Sub063 InC-P1000,subInC,2650328.134,19667.145,-88115,63,InC-P1000
3841,Sub063 InC-P2000,subInC,5295469.031,20221.8338,-88371.5,63,InC-P2000
3842,Sub063 InC-M25,subInC,56016.778,10360.3492,-49188.2,63,InC-M25
3843,Sub063 InC-M50,subInC,112033.5559,11745.9293,-49729.7,63,InC-M50
3844,Sub063 InC-M250,subInC,560167.7795,16498.2419,-52528.3,63,InC-M250
3845,Sub063 InC-M500,subInC,1096756.391,18578.3357,-55215.7,63,InC-M500
3846,Sub063 InC-M1000,subInC,2189384.887,19696.9351,-64992.1,63,InC-M1000
3847,Sub063 InC-M2000,subInC,4373582.537,20188.3027,-88404.4,63,InC-M2000
3848,Sub064 InC-P25,subInC,67730.9878,10740.9463,-50390.5,64,InC-P25
3849,Sub064 InC-P50,subInC,135461.9757,12779.7573,-51445.2,64,InC-P50
3850,Sub064 InC-P250,subInC,677309.8784,20729.188,-59130.2,64,InC-P250
3851,Sub064 InC-P500,subInC,1331040.589,23729.3704,-72266.1,64,InC-P500
3852,Sub064 InC-P1000,subInC,2657953.282,25709.2255,-89989.1,64,InC-P1000
3853,Sub064 InC-P2000,subInC,5310719.327,27088.6441,-87832.9,64,InC-P2000
3854,Sub064 InC-M25,subInC,56207.4067,13590.1137,-49908.9,64,InC-M25
3855,Sub064 InC-M50,subInC,112414.8133,15403.6866,-50475.8,64,InC-M50
3856,Sub064 InC-M250,subInC,562074.0666,21494.5073,-53975.2,64,InC-M250
3857,Sub064 InC-M500,subInC,1100568.965,24207.3687,-56940.3,64,InC-M500
3858,Sub064 InC-M1000,subInC,2197010.035,25930.5963,-65058.4,64,InC-M1000
3859,Sub064 InC-M2000,subInC,4388832.833,26796.2112,-88514.6,64,InC-M2000
3860,Sub065 InC-P25,subInC,66820.38,84624.1042,314626.6,65,InC-P25
3861,Sub065 InC-P50,subInC,133640.76,89209.3677,313566.7,65,InC-P50
3862,Sub065 InC-P250,subInC,668203.8,114255.542,301837.7,65,InC-P250
3863,Sub065 InC-P500,subInC,1312828.432,136835.1133,274333.4,65,InC-P500
3864,Sub065 InC-P1000,subInC,2621528.969,170050.0335,66444.2,65,InC-P1000
3865,Sub065 InC-P2000,subInC,5237870.7,214299.8339,-342399.1,65,InC-P2000
3866,Sub065 InC-M25,subInC,55296.7988,126159.1105,310245.8,65,InC-M25
3867,Sub065 InC-M50,subInC,110593.5976,139711.6093,309851.4,65,InC-M50
3868,Sub065 InC-M250,subInC,552967.9882,182785.3024,293796.6,65,InC-M250
3869,Sub065 InC-M500,subInC,1082356.809,206568.7936,279766,65,InC-M500
3870,Sub065 InC-M1000,subInC,2160585.721,233518.1895,231563.5,65,InC-M1000
3871,Sub065 InC-M2000,subInC,4315984.206,262524.8663,151632.8,65,InC-M2000
3872,Sub066 InC-P25,subInC,65531.034,2454.9114,1376.5,66,InC-P25
3873,Sub066 InC-P50,subInC,131062.068,2918.347,-57219.8,66,InC-P50
3874,Sub066 InC-P250,subInC,655310.3399,3937.1009,-57596.2,66,InC-P250
3875,Sub066 InC-P500,subInC,1287041.512,4118.268,-57254.4,66,InC-P500
3876,Sub066 InC-P1000,subInC,2569955.128,4234.19,-56744.1,66,InC-P1000
3877,Sub066 InC-P2000,subInC,5134723.019,4261.7303,-55524.4,66,InC-P2000
3878,Sub066 InC-M25,subInC,54007.4528,2790.4636,-481.1,66,InC-M25
3879,Sub066 InC-M50,subInC,108014.9056,3171.1096,204.6,66,InC-M50
3880,Sub066 InC-M250,subInC,540074.5281,3830.7357,-58007.4,66,InC-M250
3881,Sub066 InC-M500,subInC,1056569.888,4009.946,-58282.6,66,InC-M500
3882,Sub066 InC-M1000,subInC,2109011.881,4108.5695,-58722.6,66,InC-M1000
3883,Sub066 InC-M2000,subInC,4212836.525,4095.4981,-59706.3,66,InC-M2000
3884,Sub067 InC-P25,subInC,68567.1619,917.9948,-53505.4,67,InC-P25
3885,Sub067 InC-P50,subInC,137134.3239,1046.596,-54179,67,InC-P50
3886,Sub067 InC-P250,subInC,685671.6195,1257.7301,-63075.6,67,InC-P250
3887,Sub067 InC-P500,subInC,1347764.071,1305.9182,-62487,67,InC-P500
3888,Sub067 InC-P1000,subInC,2691400.246,1417.9023,-61325.8,67,InC-P1000
3889,Sub067 InC-P2000,subInC,5377613.256,1519.7308,-58997.5,67,InC-P2000
3890,Sub067 InC-M25,subInC,57043.5808,994.3534,-53066.4,67,InC-M25
3891,Sub067 InC-M50,subInC,114087.1615,1095.7768,-53152.1,67,InC-M50
3892,Sub067 InC-M250,subInC,570435.8077,1252.7937,-55881.1,67,InC-M250
