ID,Label,Cost,NitRed,SedRed,Name
319,Sub053 ISO-M-L,1246467.319,738.0306,-1013.4,ISO-M-L
320,Sub054 ISO-P-S,202197.6274,795.4549,540.4000001,ISO-P-S
321,Sub054 ISO-P-M,599751.5834,1410.9432,1112.1,ISO-P-M
322,Sub054 ISO-P-L,997145.8567,2051.7467,1684.4,ISO-P-L
323,Sub054 ISO-M-S,153323.1614,715.6364,499.0000001,ISO-M-S
324,Sub054 ISO-M-M,453128.1853,1191.682,1008.9,ISO-M-M
325,Sub054 ISO-M-L,752773.5264,1646.6696,1506.5,ISO-M-L
326,Sub055 ISO-P-S,172499.317,1413.625,834.9,ISO-P-S
327,Sub055 ISO-P-M,511428.3117,1692.3549,1250,ISO-P-M
328,Sub055 ISO-P-L,850215.635,1692.3549,1250,ISO-P-L
329,Sub055 ISO-M-S,129137.6123,1366.5855,829.2,ISO-M-S
330,Sub055 ISO-M-M,381343.1974,1639.3074,1243.8,ISO-M-M
331,Sub055 ISO-M-L,633407.1112,1670.5418,1247.6,ISO-M-L
332,Sub056 ISO-P-S,366232.2674,1406.1284,1885.3,ISO-P-S
333,Sub056 ISO-P-M,1085907.233,2348.7581,3310.3,ISO-P-M
334,Sub056 ISO-P-L,1805283.677,3317.3448,4734.7,ISO-P-L
335,Sub056 ISO-M-S,274863.1613,1290.719,1792.3,ISO-M-S
336,Sub056 ISO-M-M,811799.9147,2043.6778,3079.4,ISO-M-M
337,Sub056 ISO-M-L,1348438.147,2735.4909,4310.1,ISO-M-L
338,Sub057 ISO-P-S,128455.0632,384.1135,601.3,ISO-P-S
339,Sub057 ISO-P-M,380881.794,616.871,1075.4,ISO-P-M
340,Sub057 ISO-P-L,633203.8778,837.6555,1351,ISO-P-L
341,Sub057 ISO-M-S,96425.5354,384.1135,601.3,ISO-M-S
342,Sub057 ISO-M-M,284793.2103,613.1859,1070.6,ISO-M-M
343,Sub057 ISO-M-L,473056.2384,826.6618,1337.8,ISO-M-L
344,Sub058 ISO-P-S,237383.6273,1103.8106,6092.1,ISO-P-S
345,Sub058 ISO-P-M,703593.9792,1103.8106,6092.1,ISO-P-M
346,Sub058 ISO-P-L,1169604.605,1103.8106,6092.1,ISO-P-L
347,Sub058 ISO-M-S,176252.8306,640.2162,5001.1,ISO-M-S
348,Sub058 ISO-M-M,520201.589,704.2958,5275.4,ISO-M-M
349,Sub058 ISO-M-L,863950.6208,773.8313,5485.3,ISO-M-L
350,Sub059 ISO-P-S,150202.661,998.2351,3673.4,ISO-P-S
351,Sub059 ISO-P-M,445176.8563,998.2351,3673.4,ISO-P-M
352,Sub059 ISO-P-L,740024.2836,998.2351,3673.4,ISO-P-L
353,Sub059 ISO-M-S,111402.5113,956.0566,3547,ISO-M-S
