Label,Practice,subbasin,HRU
Sub042 ISO-P-L, ISO-P-L,42,0
Sub042 ISO-M-S, ISO-M-S,42,0
Sub042 ISO-M-M, ISO-M-M,42,0
Sub042 ISO-M-L, ISO-M-L,42,0
Sub043 ISO-P-S, ISO-P-S,43,0
Sub043 ISO-P-M, ISO-P-M,43,0
Sub043 ISO-P-L, ISO-P-L,43,0
Sub043 ISO-M-S, ISO-M-S,43,0
Sub043 ISO-M-M, ISO-M-M,43,0
Sub043 ISO-M-L, ISO-M-L,43,0
Sub044 ISO-P-S, ISO-P-S,44,0
Sub044 ISO-P-M, ISO-P-M,44,0
Sub044 ISO-P-L, ISO-P-L,44,0
Sub044 ISO-M-S, ISO-M-S,44,0
Sub044 ISO-M-M, ISO-M-M,44,0
Sub044 ISO-M-L, ISO-M-L,44,0
Sub045 ISO-P-S, ISO-P-S,45,0
Sub045 ISO-P-M, ISO-P-M,45,0
Sub045 ISO-P-L, ISO-P-L,45,0
Sub045 ISO-M-S, ISO-M-S,45,0
Sub045 ISO-M-M, ISO-M-M,45,0
Sub045 ISO-M-L, ISO-M-L,45,0
Sub046 ISO-P-S, ISO-P-S,46,0
Sub046 ISO-P-M, ISO-P-M,46,0
Sub046 ISO-P-L, ISO-P-L,46,0
Sub046 ISO-M-S, ISO-M-S,46,0
Sub046 ISO-M-M, ISO-M-M,46,0
Sub046 ISO-M-L, ISO-M-L,46,0
Sub047 ISO-P-S, ISO-P-S,47,0
Sub047 ISO-P-M, ISO-P-M,47,0
Sub047 ISO-P-L, ISO-P-L,47,0
Sub047 ISO-M-S, ISO-M-S,47,0
Sub047 ISO-M-M, ISO-M-M,47,0
Sub047 ISO-M-L, ISO-M-L,47,0
Sub048 ISO-P-S, ISO-P-S,48,0
Sub048 ISO-P-M, ISO-P-M,48,0
Sub048 ISO-P-L, ISO-P-L,48,0
Sub048 ISO-M-S, ISO-M-S,48,0
Sub048 ISO-M-M, ISO-M-M,48,0
Sub048 ISO-M-L, ISO-M-L,48,0
Sub049 ISO-P-S, ISO-P-S,49,0
Sub049 ISO-P-M, ISO-P-M,49,0
Sub049 ISO-P-L, ISO-P-L,49,0
Sub049 ISO-M-S, ISO-M-S,49,0
Sub049 ISO-M-M, ISO-M-M,49,0
Sub049 ISO-M-L, ISO-M-L,49,0
Sub050 ISO-P-S, ISO-P-S,50,0
Sub050 ISO-P-M, ISO-P-M,50,0
Sub050 ISO-P-L, ISO-P-L,50,0
Sub050 ISO-M-S, ISO-M-S,50,0
Sub050 ISO-M-M, ISO-M-M,50,0
Sub050 ISO-M-L, ISO-M-L,50,0
Sub051 ISO-P-S, ISO-P-S,51,0
Sub051 ISO-P-M, ISO-P-M,51,0
Sub051 ISO-P-L, ISO-P-L,51,0
Sub051 ISO-M-S, ISO-M-S,51,0
Sub051 ISO-M-M, ISO-M-M,51,0
Sub051 ISO-M-L, ISO-M-L,51,0
Sub052 ISO-P-S, ISO-P-S,52,0
Sub052 ISO-P-M, ISO-P-M,52,0
Sub052 ISO-P-L, ISO-P-L,52,0
Sub052 ISO-M-S, ISO-M-S,52,0
Sub052 ISO-M-M, ISO-M-M,52,0
Sub052 ISO-M-L, ISO-M-L,52,0
Sub053 ISO-P-S, ISO-P-S,53,0
Sub053 ISO-P-M, ISO-P-M,53,0
Sub053 ISO-P-L, ISO-P-L,53,0
Sub053 ISO-M-S, ISO-M-S,53,0
Sub053 ISO-M-M, ISO-M-M,53,0
Sub053 ISO-M-L, ISO-M-L,53,0
Sub054 ISO-P-S, ISO-P-S,54,0
Sub054 ISO-P-M, ISO-P-M,54,0
Sub054 ISO-P-L, ISO-P-L,54,0
Sub054 ISO-M-S, ISO-M-S,54,0
Sub054 ISO-M-M, ISO-M-M,54,0
Sub054 ISO-M-L, ISO-M-L,54,0
Sub055 ISO-P-S, ISO-P-S,55,0
Sub055 ISO-P-M, ISO-P-M,55,0
Sub055 ISO-P-L, ISO-P-L,55,0
Sub055 ISO-M-S, ISO-M-S,55,0
Sub055 ISO-M-M, ISO-M-M,55,0
Sub055 ISO-M-L, ISO-M-L,55,0
Sub056 ISO-P-S, ISO-P-S,56,0
Sub056 ISO-P-M, ISO-P-M,56,0
Sub056 ISO-P-L, ISO-P-L,56,0
Sub056 ISO-M-S, ISO-M-S,56,0
Sub056 ISO-M-M, ISO-M-M,56,0
Sub056 ISO-M-L, ISO-M-L,56,0
Sub057 ISO-P-S, ISO-P-S,57,0
Sub057 ISO-P-M, ISO-P-M,57,0
Sub057 ISO-P-L, ISO-P-L,57,0
Sub057 ISO-M-S, ISO-M-S,57,0
Sub057 ISO-M-M, ISO-M-M,57,0
Sub057 ISO-M-L, ISO-M-L,57,0
Sub058 ISO-P-S, ISO-P-S,58,0
Sub058 ISO-P-M, ISO-P-M,58,0
Sub058 ISO-P-L, ISO-P-L,58,0
Sub058 ISO-M-S, ISO-M-S,58,0
Sub058 ISO-M-M, ISO-M-M,58,0
Sub058 ISO-M-L, ISO-M-L,58,0
Sub059 ISO-P-S, ISO-P-S,59,0
Sub059 ISO-P-M, ISO-P-M,59,0
Sub059 ISO-P-L, ISO-P-L,59,0
Sub059 ISO-M-S, ISO-M-S,59,0
Sub059 ISO-M-M, ISO-M-M,59,0
Sub059 ISO-M-L, ISO-M-L,59,0
Sub060 ISO-P-S, ISO-P-S,60,0
Sub060 ISO-P-M, ISO-P-M,60,0
Sub060 ISO-P-L, ISO-P-L,60,0
Sub060 ISO-M-S, ISO-M-S,60,0
Sub060 ISO-M-M, ISO-M-M,60,0
Sub060 ISO-M-L, ISO-M-L,60,0
Sub061 ISO-P-S, ISO-P-S,61,0
Sub061 ISO-P-M, ISO-P-M,61,0
Sub061 ISO-P-L, ISO-P-L,61,0
Sub061 ISO-M-S, ISO-M-S,61,0
Sub061 ISO-M-M, ISO-M-M,61,0
Sub061 ISO-M-L, ISO-M-L,61,0
Sub062 ISO-P-S, ISO-P-S,62,0
Sub062 ISO-P-M, ISO-P-M,62,0
Sub062 ISO-P-L, ISO-P-L,62,0
Sub062 ISO-M-S, ISO-M-S,62,0
Sub062 ISO-M-M, ISO-M-M,62,0
Sub062 ISO-M-L, ISO-M-L,62,0
Sub063 ISO-P-S, ISO-P-S,63,0
Sub063 ISO-P-M, ISO-P-M,63,0
Sub063 ISO-P-L, ISO-P-L,63,0
Sub063 ISO-M-S, ISO-M-S,63,0
Sub063 ISO-M-M, ISO-M-M,63,0
Sub063 ISO-M-L, ISO-M-L,63,0
Sub064 ISO-P-S, ISO-P-S,64,0
Sub064 ISO-P-M, ISO-P-M,64,0
Sub064 ISO-P-L, ISO-P-L,64,0
Sub064 ISO-M-S, ISO-M-S,64,0
Sub064 ISO-M-M, ISO-M-M,64,0
Sub064 ISO-M-L, ISO-M-L,64,0
Sub065 ISO-P-S, ISO-P-S,65,0
Sub065 ISO-P-M, ISO-P-M,65,0
Sub065 ISO-P-L, ISO-P-L,65,0
Sub065 ISO-M-S, ISO-M-S,65,0
Sub065 ISO-M-M, ISO-M-M,65,0
Sub065 ISO-M-L, ISO-M-L,65,0
Sub066 ISO-P-S, ISO-P-S,66,0
Sub066 ISO-P-M, ISO-P-M,66,0
Sub066 ISO-P-L, ISO-P-L,66,0
Sub066 ISO-M-S, ISO-M-S,66,0
Sub066 ISO-M-M, ISO-M-M,66,0
Sub066 ISO-M-L, ISO-M-L,66,0
Sub067 ISO-P-S, ISO-P-S,67,0
Sub067 ISO-P-M, ISO-P-M,67,0
Sub067 ISO-P-L, ISO-P-L,67,0
Sub067 ISO-M-S, ISO-M-S,67,0
Sub067 ISO-M-M, ISO-M-M,67,0
Sub067 ISO-M-L, ISO-M-L,67,0
Sub068 ISO-P-S, ISO-P-S,68,0
Sub068 ISO-P-M, ISO-P-M,68,0
Sub068 ISO-P-L, ISO-P-L,68,0
Sub068 ISO-M-S, ISO-M-S,68,0
Sub068 ISO-M-M, ISO-M-M,68,0
Sub068 ISO-M-L, ISO-M-L,68,0
Sub069 ISO-P-S, ISO-P-S,69,0
Sub069 ISO-P-M, ISO-P-M,69,0
Sub069 ISO-P-L, ISO-P-L,69,0
Sub069 ISO-M-S, ISO-M-S,69,0
Sub069 ISO-M-M, ISO-M-M,69,0
Sub069 ISO-M-L, ISO-M-L,69,0
Sub070 ISO-P-S, ISO-P-S,70,0
Sub070 ISO-P-M, ISO-P-M,70,0
Sub070 ISO-P-L, ISO-P-L,70,0
Sub070 ISO-M-S, ISO-M-S,70,0
Sub070 ISO-M-M, ISO-M-M,70,0
Sub070 ISO-M-L, ISO-M-L,70,0
Sub071 ISO-P-S, ISO-P-S,71,0
Sub071 ISO-P-M, ISO-P-M,71,0
Sub071 ISO-P-L, ISO-P-L,71,0
Sub071 ISO-M-S, ISO-M-S,71,0
Sub071 ISO-M-M, ISO-M-M,71,0
Sub071 ISO-M-L, ISO-M-L,71,0
Sub072 ISO-P-S, ISO-P-S,72,0
Sub072 ISO-P-M, ISO-P-M,72,0
Sub072 ISO-P-L, ISO-P-L,72,0
Sub072 ISO-M-S, ISO-M-S,72,0
Sub072 ISO-M-M, ISO-M-M,72,0
Sub072 ISO-M-L, ISO-M-L,72,0
Sub073 ISO-P-S, ISO-P-S,73,0
Sub073 ISO-P-M, ISO-P-M,73,0
Sub073 ISO-P-L, ISO-P-L,73,0
Sub073 ISO-M-S, ISO-M-S,73,0
Sub073 ISO-M-M, ISO-M-M,73,0
Sub073 ISO-M-L, ISO-M-L,73,0
Sub074 ISO-P-S, ISO-P-S,74,0
Sub074 ISO-P-M, ISO-P-M,74,0
Sub074 ISO-P-L, ISO-P-L,74,0
Sub074 ISO-M-S, ISO-M-S,74,0
Sub074 ISO-M-M, ISO-M-M,74,0
Sub074 ISO-M-L, ISO-M-L,74,0
Sub075 ISO-P-S, ISO-P-S,75,0
