LABEL,Genome Position
BS+GW+FM069,1096
BS+CC+FM069,1096
GW+CC+FM069,1096
BS+GW+CC+FM069,1096
BS070,1097
GW070,1097
CC070,1097
FM070,1097
BS+GW070,1097
BS+CC070,1097
BS+FM070,1097
GW+CC070,1097
GW+FM070,1097
CC+FM070,1097
BS+GW+CC070,1097
BS+GW+FM070,1097
BS+CC+FM070,1097
GW+CC+FM070,1097
BS+GW+CC+FM070,1097
BS071,1098
GW071,1098
CC071,1098
FM071,1098
BS+GW071,1098
BS+CC071,1098
BS+FM071,1098
GW+CC071,1098
GW+FM071,1098
CC+FM071,1098
BS+GW+CC071,1098
BS+GW+FM071,1098
BS+CC+FM071,1098
GW+CC+FM071,1098
BS+GW+CC+FM071,1098
BS072,1099
GW072,1099
CC072,1099
FM072,1099
BS+GW072,1099
BS+CC072,1099
BS+FM072,1099
GW+CC072,1099
GW+FM072,1099
CC+FM072,1099
BS+GW+CC072,1099
BS+GW+FM072,1099
BS+CC+FM072,1099
GW+CC+FM072,1099
BS+GW+CC+FM072,1099
BS073,1100
GW073,1100
CC073,1100
FM073,1100
BS+GW073,1100
BS+CC073,1100
BS+FM073,1100
GW+CC073,1100
GW+FM073,1100
CC+FM073,1100
BS+GW+CC073,1100
BS+GW+FM073,1100
BS+CC+FM073,1100
GW+CC+FM073,1100
BS+GW+CC+FM073,1100
BS074,1101
GW074,1101
CC074,1101
FM074,1101
BS+GW074,1101
BS+CC074,1101
BS+FM074,1101
GW+CC074,1101
GW+FM074,1101
CC+FM074,1101
BS+GW+CC074,1101
BS+GW+FM074,1101
BS+CC+FM074,1101
GW+CC+FM074,1101
BS+GW+CC+FM074,1101
BS075,1102
GW075,1102
CC075,1102
FM075,1102
BS+GW075,1102
BS+CC075,1102
BS+FM075,1102
GW+CC075,1102
GW+FM075,1102
CC+FM075,1102
BS+GW+CC075,1102
BS+GW+FM075,1102
BS+CC+FM075,1102
GW+CC+FM075,1102
BS+GW+CC+FM075,1102
BS076,1103
GW076,1103
CC076,1103
FM076,1103
BS+GW076,1103
BS+CC076,1103
BS+FM076,1103
GW+CC076,1103
GW+FM076,1103
CC+FM076,1103
BS+GW+CC076,1103
BS+GW+FM076,1103
BS+CC+FM076,1103
GW+CC+FM076,1103
BS+GW+CC+FM076,1103
BS077,1104
GW077,1104
CC077,1104
FM077,1104
BS+GW077,1104
BS+CC077,1104
BS+FM077,1104
GW+CC077,1104
GW+FM077,1104
CC+FM077,1104
BS+GW+CC077,1104
BS+GW+FM077,1104
BS+CC+FM077,1104
GW+CC+FM077,1104
BS+GW+CC+FM077,1104
BS078,1105
GW078,1105
CC078,1105
FM078,1105
BS+GW078,1105
BS+CC078,1105
BS+FM078,1105
GW+CC078,1105
GW+FM078,1105
CC+FM078,1105
BS+GW+CC078,1105
BS+GW+FM078,1105
BS+CC+FM078,1105
GW+CC+FM078,1105
BS+GW+CC+FM078,1105
BS079,1106
GW079,1106
CC079,1106
FM079,1106
BS+GW079,1106
BS+CC079,1106
BS+FM079,1106
GW+CC079,1106
GW+FM079,1106
CC+FM079,1106
