Label,ld0.0top10,ld0.0top30,ld0.0top60,ld0.5top10,ld0.5top30,ld0.5top60,ld1.0top10,ld1.0top30,ld1.0top60
Sub042 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub042 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub043 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub043 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub043 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub043 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub043 ISO-M-M,0,0,1,0,0,0,0,0,1
Sub043 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub044 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub044 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub044 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub044 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub044 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub044 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub045 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub045 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub045 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub045 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub045 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub045 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub046 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub046 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub046 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub046 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub046 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub046 ISO-M-L,0,0,0,0,0,0,0,1,1
Sub047 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub047 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub047 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub047 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub047 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub047 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub048 ISO-P-S,0,0,1,0,0,1,0,0,1
Sub048 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub048 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub048 ISO-M-S,0,0,1,0,0,1,0,0,1
Sub048 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub048 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub049 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub049 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub049 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub049 ISO-M-S,0,1,1,0,1,1,0,0,1
Sub049 ISO-M-M,0,0,1,0,0,1,0,0,1
Sub049 ISO-M-L,0,0,1,0,0,1,0,0,1
Sub050 ISO-P-S,0,1,1,0,1,1,0,0,1
Sub050 ISO-P-M,0,0,1,0,0,1,0,0,1
Sub050 ISO-P-L,0,0,1,0,0,1,0,0,1
Sub050 ISO-M-S,0,1,1,0,0,1,0,0,1
Sub050 ISO-M-M,0,0,1,0,0,1,0,0,1
